Entry	Entry Name	Gene Names	Protein names	Organism	Length	Subcellular location [CC]	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)
P51981	AEEP_ECOLI	ycjG ycjH b1325 JW1318	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)	Escherichia coli (strain K12)	321		3D-structure;Cell wall biogenesis/degradation;Isomerase;Magnesium;Metal-binding;Reference proteome	amino acid catabolic process [GO:0009063]; cell wall organization [GO:0071555]; peptide metabolic process [GO:0006518]; peptidoglycan turnover [GO:0009254]	
P52006	NUDI_ECOLI	nudI yfaO b2251 JW2245	Nucleoside triphosphatase NudI (EC 3.6.1.9) (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase) (EC 3.6.1.12) (dTTP diphosphatase) (EC 3.6.1.-) (dUTP diphosphatase) (EC 3.6.1.23)	Escherichia coli (strain K12)	141		Hydrolase;Magnesium;Reference proteome		cytoplasm [GO:0005737]
P52061	IXTPA_ECOLI	rdgB yggV b2954 JW2921	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Deoxyribonucleoside triphosphate pyrophosphohydrolase) (Inosine triphosphate pyrophosphatase) (ITPase) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	Escherichia coli (strain K12)	197		3D-structure;Hydrolase;Magnesium;Manganese;Metal-binding;Nickel;Nucleotide metabolism;Nucleotide-binding;Reference proteome	nucleoside triphosphate catabolic process [GO:0009143]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P52073	GLCE_ECOLI	glcE gox yghL b4468 JW5487	Glycolate oxidase subunit GlcE (EC 1.1.99.14) (Glycolate dehydrogenase subunit GlcE)	Escherichia coli (strain K12)	350	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2689218}. Note=Glycolate oxidoreductase activity was shown to be firmly associated with the cytoplasmic membranes. {ECO:0000269|PubMed:2689218}.	Cell inner membrane;Cell membrane;FAD;Flavoprotein;Membrane;Oxidoreductase;Reference proteome	glycolate catabolic process [GO:0046296]	plasma membrane [GO:0005886]
P52074	GLCF_ECOLI	glcF gox yghL b4467 JW5486	Glycolate oxidase iron-sulfur subunit (EC 1.1.99.14) (Glycolate dehydrogenase subunit GlcF) (Glycolate oxidase subunit GlcF)	Escherichia coli (strain K12)	407	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2689218, ECO:0000305|PubMed:8606183}. Note=Glycolate oxidoreductase activity was shown to be firmly associated with the cytoplasmic membranes (PubMed:2689218). And the GlcF subunit itself could only be detected in the membrane fraction (PubMed:8606183). {ECO:0000269|PubMed:2689218, ECO:0000269|PubMed:8606183}.	4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Oxidoreductase;Reference proteome;Repeat;Transport	glycolate catabolic process [GO:0046296]	plasma membrane [GO:0005886]
P52095	LDCC_ECOLI	ldcC ldc ldcH b0186 JW0181	Constitutive lysine decarboxylase (LDCC) (EC 4.1.1.18)	Escherichia coli (strain K12)	713		3D-structure;Decarboxylase;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome	lysine catabolic process [GO:0006554]	cytoplasm [GO:0005737]
P52101	GLRK_ECOLI	glrK yfhK b2556 JW5407	Sensor histidine kinase GlrK (EC 2.7.13.3)	Escherichia coli (strain K12)	475	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	intracellular chemical homeostasis [GO:0055082]; osmosensory signaling via phosphorelay pathway [GO:0007234]; response to epinephrine [GO:0071871]; signal transduction [GO:0007165]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]
P52106	CSGD_ECOLI	csgD b1040 JW1023	CsgBAC operon transcriptional regulatory protein	Escherichia coli (strain K12)	216	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:16513732}; Peripheral membrane protein {ECO:0000305|PubMed:16513732}. Note=In experiments done with low-level constitutively expressed protein.	Cell inner membrane;Cell membrane;DNA-binding;Membrane;Reference proteome;Transcription;Transcription regulation	positive regulation of DNA-templated transcription initiation [GO:2000144]; regulation of single-species biofilm formation [GO:1900190]	plasma membrane [GO:0005886]; protein-DNA complex [GO:0032993]
P52126	ABPB_ECOLI	abpB yfjK b2627 JW2608	Anti-bacteriophage protein B (Probable helicase AbpB)	Escherichia coli (strain K12)	729		3D-structure;Antiviral defense;ATP-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;Stress response	defense response to virus [GO:0051607]; response to ionizing radiation [GO:0010212]	
P52129	RNLA_ECOLI	rnlA std yfjN b2630 JW2611	mRNA endoribonuclease toxin LS (EC 3.1.-.-) (RNase LS) (Toxin LS)	Escherichia coli (strain K12)	357	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17895580}. Note=May associate with ribosomes, it sediments in a P100 fraction (pellet of a 100,000 x g centrifugation). {ECO:0000305|PubMed:17895580}.	3D-structure;Antiviral defense;Cytoplasm;Endonuclease;Hydrolase;Nuclease;Reference proteome;Toxin-antitoxin system	defense response to virus [GO:0051607]; mRNA catabolic process [GO:0006402]; regulation of DNA-templated transcription [GO:0006355]; regulation of growth [GO:0040008]; single-species biofilm formation [GO:0044010]	cytoplasm [GO:0005737]; toxin-antitoxin complex [GO:0110001]
P52643	LDHD_ECOLI	ldhA hslI htpH b1380 JW1375	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (Fermentative lactate dehydrogenase)	Escherichia coli (strain K12)	329		3D-structure;NAD;Oxidoreductase;Reference proteome;Stress response	lactate metabolic process [GO:0006089]; mixed acid fermentation [GO:0019664]; protein homotetramerization [GO:0051289]; response to heat [GO:0009408]	cytosol [GO:0005829]
P54745	MNGA_ECOLI	mngA hrsA b0731 JW0720	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component (2-O-alpha-mannosyl-D-glycerate-specific phosphotransferase enzyme MngA) (Protein-Npi-phosphohistidine--2-O-alpha-mannosyl-D-glycerate phosphotransferase) [Includes: 2-O-alpha-mannosyl-D-glycerate-specific phosphotransferase enzyme IIA component (PTS system EIIA component); 2-O-alpha-mannosyl-D-glycerate-specific phosphotransferase enzyme IIB component (EC 2.7.1.195) (PTS system EIIB component); 2-O-alpha-mannosyl-D-glycerate-specific permease IIC component (PTS system EIIC component)]	Escherichia coli (strain K12)	658	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000305|PubMed:14645248}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000305|PubMed:14645248}.	Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	phosphoenolpyruvate-dependent mannosylglycerate phosphotransferase system [GO:0051476]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	plasma membrane [GO:0005886]
P55135	RLMD_ECOLI	rlmD rumA ygcA b2785 JW2756	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD (EC 2.1.1.190) (23S rRNA(m5U1939)-methyltransferase)	Escherichia coli (strain K12)	433		3D-structure;4Fe-4S;Direct protein sequencing;Iron;Iron-sulfur;Metal-binding;Methyltransferase;Reference proteome;rRNA processing;S-adenosyl-L-methionine;Transferase	rRNA base methylation [GO:0070475]	
P55734	YGAP_ECOLI	ygaP b2668 JW2643	Thiosulfate sulfurtransferase YgaP (EC 2.8.1.1)	Escherichia coli (strain K12)	174	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:24958726}; Multi-pass membrane protein {ECO:0000269|PubMed:24958726}.	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix		plasma membrane [GO:0005886]
P56100	CYDX_ECOLI	cydX ybgT b4515 JW0724	Cytochrome bd-I ubiquinol oxidase subunit X (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit X) (Cytochrome d ubiquinol oxidase subunit X)	Escherichia coli (strain K12)	37	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=In sucrose cushions fractionates with both the inner and outer membranes. {ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}.	3D-structure;Cell inner membrane;Cell membrane;Electron transport;Membrane;Reference proteome;Stress response;Translocase;Transmembrane;Transmembrane helix;Transport	aerobic electron transport chain [GO:0019646]; oxidative phosphorylation [GO:0006119]	cytochrome complex [GO:0070069]; membrane [GO:0016020]; outer membrane [GO:0019867]; plasma membrane [GO:0005886]
P56580	PTHB_ECOLI	srlE gutA gutE b2703 JW5430	PTS system glucitol/sorbitol-specific EIIB component (EC 2.7.1.198) (EII-Gut) (Enzyme II-Gut) (Glucitol/sorbitol-specific phosphotransferase enzyme IIB component)	Escherichia coli (strain K12)	319	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:3553176}; Multi-pass membrane protein {ECO:0000255, ECO:0000305|PubMed:3553176}.	Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	plasma membrane [GO:0005886]; transmembrane transporter complex [GO:1902495]
P56976	BLR_ECOLI	blr b4409 JW5963	Divisome-associated membrane protein Blr (Beta-lactam resistance protein)	Escherichia coli (strain K12)	41	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10931331, ECO:0000269|PubMed:22885295}; Single-pass membrane protein {ECO:0000269|PubMed:10931331, ECO:0000269|PubMed:22885295}. Note=Localizes to the division septum. Localization requires FtsQ and FtsN.	Antibiotic resistance;Cell cycle;Cell division;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix	cell division [GO:0051301]; cellular response to cell envelope stress [GO:0036460]; cellular response to stress [GO:0033554]; response to antibiotic [GO:0046677]	division septum [GO:0000935]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P60061	ADIC_ECOLI	adiC aniC yjdD yjdE b4115 JW4076	Arginine/agmatine antiporter	Escherichia coli (strain K12)	445	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:12867448}; Multi-pass membrane protein {ECO:0000269|PubMed:21368142}.	3D-structure;Amino-acid transport;Antiport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	cellular stress response to acidic pH [GO:1990451]	plasma membrane [GO:0005886]
P60240	RAPA_ECOLI	rapA hepA yabA b0059 JW0058	RNA polymerase-associated protein RapA (EC 3.6.4.-) (RNA polymerase-associated protein HepA)	Escherichia coli (strain K12)	968		3D-structure;Activator;ATP-binding;Direct protein sequencing;DNA-binding;Hydrolase;Nucleotide-binding;Reference proteome;RNA-binding;Transcription;Transcription regulation	heterochromatin formation [GO:0031507]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]	cytoplasm [GO:0005737]
P60340	TRUB_ECOLI	truB yhbA b3166 JW3135	tRNA pseudouridine synthase B (EC 5.4.99.25) (Protein P35) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	Escherichia coli (strain K12)	314		3D-structure;Direct protein sequencing;Isomerase;Reference proteome;tRNA processing	mRNA pseudouridine synthesis [GO:1990481]; tRNA folding [GO:0061818]; tRNA modification [GO:0006400]; tRNA pseudouridine synthesis [GO:0031119]	cytosol [GO:0005829]
P60422	RL2_ECOLI	rplB b3317 JW3279	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)	Escherichia coli (strain K12)	273		3D-structure;Acetylation;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	cytoplasmic translation [GO:0002181]; negative regulation of DNA-templated DNA replication initiation [GO:0032297]; ribosomal large subunit assembly [GO:0000027]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; DnaA-L2 complex [GO:1990082]
P60438	RL3_ECOLI	rplC b3320 JW3282	Large ribosomal subunit protein uL3 (50S ribosomal protein L3)	Escherichia coli (strain K12)	209		3D-structure;Direct protein sequencing;Methylation;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P60472	UPPS_ECOLI	ispU rth uppS yaeS b0174 JW0169	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)	Escherichia coli (strain K12)	253		3D-structure;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Magnesium;Metal-binding;Peptidoglycan synthesis;Reference proteome;Transferase	cell division [GO:0051301]; cell wall organization [GO:0071555]; Gram-negative-bacterium-type cell wall biogenesis [GO:0043164]; peptidoglycan biosynthetic process [GO:0009252]; polyprenol biosynthetic process [GO:0016094]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P60560	GUAC_ECOLI	guaC b0104 JW0101	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	Escherichia coli (strain K12)	347		Direct protein sequencing;Metal-binding;NADP;Oxidoreductase;Potassium;Reference proteome	IMP salvage [GO:0032264]; purine ribonucleotide interconversion [GO:0015951]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; GMP reductase complex [GO:1902560]
P60595	HIS5_ECOLI	hisH b2023 JW2005	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	Escherichia coli (strain K12)	196	SUBCELLULAR LOCATION: Cytoplasm.	Amino-acid biosynthesis;Cytoplasm;Direct protein sequencing;Glutamine amidotransferase;Histidine biosynthesis;Hydrolase;Lyase;Reference proteome	L-histidine biosynthetic process [GO:0000105]	imidazoleglycerol-phosphate synthase complex [GO:0009382]
P60624	RL24_ECOLI	rplX b3309 JW3271	Large ribosomal subunit protein uL24 (50S ribosomal protein L24)	Escherichia coli (strain K12)	104		3D-structure;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P60651	SPEB_ECOLI	speB b2937 JW2904	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	Escherichia coli (strain K12)	306		3D-structure;Hydrolase;Manganese;Metal-binding;Polyamine biosynthesis;Putrescine biosynthesis;Reference proteome;Spermidine biosynthesis	putrescine biosynthetic process from arginine, via agmatine [GO:0033389]; spermidine biosynthetic process [GO:0008295]	cytosol [GO:0005829]
P60664	HIS6_ECOLI	hisF b2025 JW2007	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	Escherichia coli (strain K12)	258	SUBCELLULAR LOCATION: Cytoplasm.	Amino-acid biosynthesis;Cytoplasm;Direct protein sequencing;Histidine biosynthesis;Lyase;Reference proteome	L-histidine biosynthetic process [GO:0000105]	cytosol [GO:0005829]; imidazoleglycerol-phosphate synthase complex [GO:0009382]
P60716	LIPA_ECOLI	lipA lip b0628 JW0623	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	Escherichia coli (strain K12)	321	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00206}.	4Fe-4S;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Reference proteome;S-adenosyl-L-methionine;Transferase	lipoate biosynthetic process [GO:0009107]; protein lipoylation [GO:0009249]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P60720	LIPB_ECOLI	lipB b0630 JW5089	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	Escherichia coli (strain K12)	213	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00013}.	Acyltransferase;Cytoplasm;Reference proteome;Transferase	lipoate biosynthetic process [GO:0009107]; lipoate metabolic process [GO:0009106]; negative regulation of gene expression [GO:0010629]; protein lipoylation [GO:0009249]	cytoplasm [GO:0005737]
P60723	RL4_ECOLI	rplD eryA b3319 JW3281	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	Escherichia coli (strain K12)	201		3D-structure;Antibiotic resistance;Direct protein sequencing;Reference proteome;Repressor;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding;Transcription;Transcription regulation;Transcription termination;Translation regulation	cytoplasmic translation [GO:0002181]; DNA-templated transcription termination [GO:0006353]; negative regulation of cytoplasmic translation [GO:2000766]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of translation [GO:0017148]; response to antibiotic [GO:0046677]; ribosome assembly [GO:0042255]; transcriptional attenuation [GO:0031555]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]
P60752	MSBA_ECOLI	msbA b0914 JW0897	ATP-dependent lipid A-core flippase (EC 7.5.2.6) (Lipid A export ATP-binding/permease protein MsbA) (Lipid flippase)	Escherichia coli (strain K12)	582	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01703, ECO:0000269|PubMed:12119303, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:8809774}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01703, ECO:0000269|PubMed:8809774}.	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Lipid transport;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	lipid translocation [GO:0034204]; lipid transport [GO:0006869]; lipopolysaccharide transport [GO:0015920]; transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; membrane [GO:0016020]; MsbA transporter complex [GO:1990199]; plasma membrane [GO:0005886]
P60785	LEPA_ECOLI	lepA b2569 JW2553	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	Escherichia coli (strain K12)	599	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:2999765}; Peripheral membrane protein {ECO:0000305|PubMed:2999765}; Cytoplasmic side {ECO:0000305|PubMed:2999765}.	3D-structure;Cell inner membrane;Cell membrane;GTP-binding;Hydrolase;Membrane;Nucleotide-binding;Protein biosynthesis;Reference proteome	positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to pH [GO:0009268]; response to salt stress [GO:0009651]; ribosomal small subunit biogenesis [GO:0042274]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P60844	AQPZ_ECOLI	aqpZ bniP b0875 JW0859	Aquaporin Z (Bacterial nodulin-like intrinsic protein) (Water channel AqpZ)	Escherichia coli (strain K12)	231	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10487750, ECO:0000269|PubMed:10518952}; Multi-pass membrane protein {ECO:0000269|PubMed:10487750, ECO:0000269|PubMed:10518952}.	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	intracellular water homeostasis [GO:0009992]; response to osmotic stress [GO:0006970]; water transport [GO:0006833]	plasma membrane [GO:0005886]
P60955	LGT_ECOLI	lgt umpA b2828 JW2796	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145) (Prolipoprotein diacylglyceryl transferase)	Escherichia coli (strain K12)	291	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01147, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22287519, ECO:0000269|PubMed:26729647}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01147, ECO:0000269|PubMed:22287519, ECO:0000269|PubMed:26729647}.	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	lipoprotein biosynthetic process [GO:0042158]	cytoplasmic side of plasma membrane [GO:0009898]; plasma membrane [GO:0005886]
P61175	RL22_ECOLI	rplV eryB b3315 JW3277	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)	Escherichia coli (strain K12)	110		3D-structure;Antibiotic resistance;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	assembly of large subunit precursor of preribosome [GO:1902626]; cytoplasmic translation [GO:0002181]; cytosolic ribosome assembly [GO:0042256]; response to antibiotic [GO:0046677]; ribosome assembly [GO:0042255]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]
P61316	LOLA_ECOLI	lolA lplA yzzV b0891 JW0874	Outer-membrane lipoprotein carrier protein (P20)	Escherichia coli (strain K12)	203	SUBCELLULAR LOCATION: Periplasm.	3D-structure;Chaperone;Direct protein sequencing;Periplasm;Protein transport;Reference proteome;Signal;Transport	lipoprotein localization to outer membrane [GO:0044874]; lipoprotein transport [GO:0042953]	outer membrane-bounded periplasmic space [GO:0030288]
P61320	LOLB_ECOLI	lolB hemM ychC b1209 JW1200	Outer-membrane lipoprotein LolB	Escherichia coli (strain K12)	207	SUBCELLULAR LOCATION: Cell outer membrane; Lipid-anchor.	3D-structure;Cell outer membrane;Chaperone;Direct protein sequencing;Lipoprotein;Membrane;Palmitate;Protein transport;Reference proteome;Signal;Transport	lipoprotein localization to outer membrane [GO:0044874]; lipoprotein metabolic process [GO:0042157]; protein transport [GO:0015031]	cell outer membrane [GO:0009279]; outer membrane-bounded periplasmic space [GO:0030288]
P61887	RMLA2_ECOLI	rffH rmlA2 yifG b3789 JW3763	Glucose-1-phosphate thymidylyltransferase 2 (G1P-TT 2) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 2) (dTDP-glucose synthase 2)	Escherichia coli (strain K12)	293		3D-structure;Exopolysaccharide synthesis;Magnesium;Metal-binding;Nucleotidyltransferase;Reference proteome;Transferase	enterobacterial common antigen biosynthetic process [GO:0009246]; O antigen biosynthetic process [GO:0009243]; polysaccharide biosynthetic process [GO:0000271]	cytosol [GO:0005829]
P61889	MDH_ECOLI	mdh b3236 JW3205	Malate dehydrogenase (EC 1.1.1.37)	Escherichia coli (strain K12)	312		3D-structure;Direct protein sequencing;NAD;Oxidoreductase;Reference proteome;Tricarboxylic acid cycle	anaerobic respiration [GO:0009061]; fermentation [GO:0006113]; glycolytic process [GO:0006096]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; membrane [GO:0016020]
P62395	SECM_ECOLI	secM srrA yacA b0097 JW5007	Secretion monitor (Gene X)	Escherichia coli (strain K12)	170	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:1834634}. Periplasm {ECO:0000269|PubMed:1834634}. Note=The active form is cytosolic, while the periplasmic form is rapidly degraded, mainly by the tail-specific protease (PubMed:11172723). {ECO:0000269|PubMed:11172723}.	3D-structure;Cytoplasm;Periplasm;Reference proteome;Signal	regulation of translation [GO:0006417]	cytosol [GO:0005829]; periplasmic space [GO:0042597]
P62399	RL5_ECOLI	rplE b3308 JW3270	Large ribosomal subunit protein uL5 (50S ribosomal protein L5)	Escherichia coli (strain K12)	179		3D-structure;Acetylation;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding;tRNA-binding	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P62617	ISPF_ECOLI	ispF mecS ygbB b2746 JW2716	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	Escherichia coli (strain K12)	159		3D-structure;Direct protein sequencing;Isoprene biosynthesis;Lyase;Metal-binding;Reference proteome	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]; ubiquinone biosynthetic process [GO:0006744]	
P62620	ISPG_ECOLI	ispG gcpE b2515 JW2499	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase) (Protein GcpE) (Protein E)	Escherichia coli (strain K12)	372		4Fe-4S;Iron;Iron-sulfur;Isoprene biosynthesis;Metal-binding;Oxidoreductase;Reference proteome	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	cytosol [GO:0005829]
P62623	ISPH_ECOLI	ispH lytB yaaE b0029 JW0027	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase)	Escherichia coli (strain K12)	316		3D-structure;4Fe-4S;Iron;Iron-sulfur;Isoprene biosynthesis;Metal-binding;Oxidoreductase;Reference proteome	dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	cytosol [GO:0005829]
P62707	GPMA_ECOLI	gpmA gpm pgm pgmA b0755 JW0738	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	Escherichia coli (strain K12)	250		3D-structure;Acetylation;Direct protein sequencing;Gluconeogenesis;Glycolysis;Isomerase;Reference proteome	canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P63020	NFUA_ECOLI	nfuA gntY yhgI b3414 JW3377	Fe/S biogenesis protein NfuA	Escherichia coli (strain K12)	191		4Fe-4S;Iron;Iron-sulfur;Metal-binding;Reference proteome;Stress response	carbon utilization [GO:0015976]; cellular response to iron ion starvation [GO:0010106]; iron-sulfur cluster assembly [GO:0016226]; protein maturation [GO:0051604]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]
