accession	ft_transit	ft_signal	cc_subcellular_location
Q96CQ1			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:25320081}; Multi-pass membrane protein {ECO:0000255}.
Q96CU9			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:20858599, ECO:0000305|PubMed:25678554}; Single-pass membrane protein {ECO:0000255}. Note=According to a report, it is associated with the matrix face of the mitochondrial inner membrane and does not contain any transmembrane region. However, one transmembrane domain is clearly predicted by different methods (Probable). {ECO:0000305|PubMed:25678554}.
Q96D53			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:24270420, ECO:0000269|PubMed:33988507}; Single-pass membrane protein {ECO:0000269|PubMed:24270420}. Cytoplasm, cytosol {ECO:0000269|PubMed:24270420}. Cell membrane {ECO:0000269|PubMed:24270420}.
Q96DA6			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12592411}; Single-pass membrane protein {ECO:0000305|PubMed:12592411}; Matrix side {ECO:0000250|UniProtKB:Q9CQV7}.
Q96DB5			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18070910}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18070910}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:18070910}. Note=In interphase localizes in the cytoplasm, and during mitosis localizes to the spindle microtubules and spindle poles.
Q96DP5	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:O77480}.
Q96DV4	"TRANSIT 1..26; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q96DW6			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03064}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03064}.
Q96E11	"TRANSIT 1..55; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18782833}.
Q96E29	"TRANSIT 1..68; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:17662942"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:17662942, ECO:0000269|PubMed:23300484}.
Q96E52	"TRANSIT 1..13; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:32132707, ECO:0000305|PubMed:20038677}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9D8H7}.
Q96EH3			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16548050, ECO:0000269|PubMed:22238375, ECO:0000269|PubMed:22238376, ECO:0000269|PubMed:22829778, ECO:0000269|PubMed:23171548, ECO:0000305|PubMed:28892042}. Note=Colocalizes with MRPL12 and/or MRPL14. {ECO:0000269|PubMed:22238375, ECO:0000269|PubMed:22829778}.
Q96EL3	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q96ER9	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:31435016}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion inner membrane {ECO:0000269|PubMed:31435016}; Multi-pass membrane protein {ECO:0000255}.
Q96EY1	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix. Cytoplasm, cytosol {ECO:0000250}. Postsynaptic cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Recruited to the postsynaptic cell membrane of the neuromuscular junction through interaction with MUSK. {ECO:0000250}.
Q96EY7	"TRANSIT 1..37; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19427859, ECO:0000269|PubMed:23908630}.
Q96EY8	"TRANSIT 1..32; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
Q96GA7			
Q96GJ1	"TRANSIT 1..16; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:31948311}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion matrix {ECO:0000269|PubMed:27184847}.
Q96GW9	"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305}.
Q96H55			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:19932026, ECO:0000269|PubMed:23568824, ECO:0000269|PubMed:25447992, ECO:0000269|PubMed:26659663, ECO:0000269|PubMed:27126804}; Peripheral membrane protein {ECO:0000269|PubMed:27126804}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19932026}.
Q96H96	"TRANSIT 1..34; /note=""Mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03189"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03189, ECO:0000269|PubMed:27493029}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03189}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03189}.
Q96HS1			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:18387606}; Single-pass membrane protein {ECO:0000255}. Mitochondrion inner membrane {ECO:0000269|PubMed:22915595, ECO:0000269|PubMed:24746696, ECO:0000269|PubMed:37498743}; Single-pass membrane protein {ECO:0000255}. Note=Isoform 2 overexpression results in the formation of disconnected punctuate mitochondria distributed throughout the cytoplasm. Isoform 1 overexpression results in the clustering of mitochondria around the nucleus.
Q96HY7	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:23141294}.
Q96I23	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:35614220}.
Q96I51	"TRANSIT 1..37; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:32735630"""		SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:28608466, ECO:0000269|PubMed:28746876}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion inner membrane {ECO:0000269|PubMed:32735630}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion inner membrane {ECO:0000269|PubMed:32735630}.; SUBCELLULAR LOCATION: [Isoform 3]: Mitochondrion inner membrane {ECO:0000269|PubMed:32735630}.
Q96I59	"TRANSIT 1..14; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}. Mitochondrion {ECO:0000269|PubMed:25807530, ECO:0000269|PubMed:35558980}.
Q96I99	"TRANSIT 1..37; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03221}.
Q96IL0	"TRANSIT 1..39; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:25175347"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:25175347, ECO:0000269|PubMed:30552096}; Peripheral membrane protein {ECO:0000305|PubMed:30552096}; Matrix side {ECO:0000269|PubMed:30552096}.
Q96IR7			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:32707086, ECO:0000269|PubMed:34471290}.
Q96IX5			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:21345788, ECO:0000269|PubMed:29917077}; Single-pass membrane protein {ECO:0000255}.
Q96JX3			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250|UniProtKB:Q3U213}; Single-pass membrane protein {ECO:0000305}. Endoplasmic reticulum {ECO:0000269|PubMed:22683713}. Mitochondrion {ECO:0000269|PubMed:22683713}. Note=Localizes at the endoplasmic reticulum and at the endoplasmic reticulum-mitochondria interface. {ECO:0000269|PubMed:22683713}.
Q96KJ9	"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00423}; Single-pass membrane protein {ECO:0000250|UniProtKB:P00423}.
Q96KR6	"TRANSIT 1..58; /note=""Mitochondrion""; /evidence=""ECO:0000255, ECO:0000269|PubMed:28594398"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:26968549}. Mitochondrion outer membrane {ECO:0000269|PubMed:28594398}; Multi-pass membrane protein {ECO:0000305}.
Q96LJ7			SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:30031147}. Note=May be attached to the ER membrane by its C-terminus segment. {ECO:0000269|PubMed:30031147}.
Q96LL9	"TRANSIT 1..38; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30318146}; Single-pass membrane protein {ECO:0000255}.
Q96LW4			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24207056, ECO:0000269|PubMed:24240614}. Mitochondrion matrix {ECO:0000269|PubMed:24207056}. Chromosome {ECO:0000269|PubMed:28534480}. Note=Present in the nucleus, but a larger fraction is localized inside mitochondria (PubMed:24207056). Associates with nuclear chromatin during the G1 and S phases of unperturbed cell cycles (PubMed:24207056). Recruited to stalled replication forks following interaction with RPA1 (PubMed:28534480). {ECO:0000269|PubMed:24207056, ECO:0000269|PubMed:28534480}.
Q8WV60			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18729827}.
Q96A35	"TRANSIT 1..9; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q96A46			SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion inner membrane {ECO:0000305|PubMed:11297739}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion inner membrane {ECO:0000305|PubMed:11297739}; Multi-pass membrane protein {ECO:0000255}.
Q96B77			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:32320651, ECO:0000305|PubMed:32275929}; Multi-pass membrane protein {ECO:0000305}.
Q96C01			
Q96DC8	"TRANSIT 1..17; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
Q96DU9			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion matrix {ECO:0000269|PubMed:23275553}. Note=Co-fractionates with mtDNA and co-immunoprecipitates with the mitochondrial poly(A) polymerase.
Q96GC5	"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q96GE9			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:27626371}; Multi-pass membrane protein {ECO:0000305}.
Q96GK7	"TRANSIT 1..84; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:F1MLX0}.
Q96H78			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250|UniProtKB:Q8BGF9}; Multi-pass membrane protein {ECO:0000255}.
Q96I36			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:22243966, ECO:0000269|PubMed:22356826, ECO:0000269|PubMed:27184847}; Single-pass membrane protein {ECO:0000255}.
Q8TF08	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P13183"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P13183}; Single-pass membrane protein {ECO:0000250|UniProtKB:P13183}.
Q8WUT9			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8WVC6			
Q969M1			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q96AB3			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17658461}. Nucleus {ECO:0000269|PubMed:17658461}. Note=Localizes to the nucleus in the presence of CDKN2A.
Q96BQ5			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:37864924}; Peripheral membrane protein {ECO:0000305|PubMed:37864924}.
Q96EL2	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
Q96HP4		"SIGNAL 1..17; /evidence=""ECO:0000255"""	
Q96LU5			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:15814844}.
Q8WW59			
Q96KF7			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q96NB2			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30442778}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000269|PubMed:30570704}; Multi-pass membrane protein {ECO:0000255}.
Q96NN9			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:15764604}. Note=Does not translocate to the nucleus upon induction of apoptosis.
Q96PE7	"TRANSIT 1..36; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
Q96PG8			SUBCELLULAR LOCATION: Note=Contrary to isoforms 1 and 2, isoform 3 does not localize to the mitochondria.
Q96PN6			SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15659711}; Peripheral membrane protein {ECO:0000269|PubMed:15659711}; Cytoplasmic side {ECO:0000269|PubMed:15659711}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12475901, ECO:0000269|PubMed:15659711}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:12475901, ECO:0000269|PubMed:15659711}. Nucleus {ECO:0000269|PubMed:12475901, ECO:0000269|PubMed:15659711}. Cell projection, cilium {ECO:0000269|PubMed:17591988}. Cytoplasm {ECO:0000269|PubMed:12475901}. Mitochondrion {ECO:0000269|PubMed:12475901}. Note=Distributed to subcellular compartments containing cAMP targets. Found as a plasma membrane-associated protein, protein concentrated in the perinuclear region and protein colocalized with actin or tubulin. {ECO:0000269|PubMed:12475901, ECO:0000269|PubMed:15659711}.
Q96Q11	"TRANSIT 1..41; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11256614, ECO:0000269|PubMed:27317422, ECO:0000305|PubMed:11504732}. Cytoplasm {ECO:0000269|PubMed:27317422, ECO:0000305|PubMed:11504732}. Nucleus {ECO:0000269|PubMed:27317422}.
Q96QE5	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:21278163}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:21278163}.
Q96RP9	"TRANSIT 1..36; /note=""Mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03061"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03061}.
Q96RQ3	"TRANSIT 1..41; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:16023992"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16023992}.
Q96RR1	"TRANSIT 1..31; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:11431692, ECO:0000269|PubMed:18971204}. Mitochondrion inner membrane {ECO:0000303|PubMed:34950192}; Peripheral membrane protein {ECO:0000269|PubMed:34950192}. Note=Colocalizes with mtDNA in mitochondrial nucleoids, a nucleoproteins complex consisting of a number of copies of proteins associated with mtDNA, probably involved in mtDNA maintenance and expression (PubMed:11431692). Associates with phospholipid membranes via electrostatic binding (By similarity). Preferentially associates with membranes enriched with cardiolipin, a lipid abundant in the mitochondrial inner membrane (PubMed:34950192). ATPase and helicase activity is enhanced by binding to lipid membranes (PubMed:34950192). {ECO:0000250|UniProtKB:Q9VL76, ECO:0000269|PubMed:11431692, ECO:0000269|PubMed:34950192}.
Q96ST8			SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm, cytoskeleton, spindle pole. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole. Mitochondrion intermembrane space. Note=Localizes to the distal appendage region of the centriole, which anchors the mother centriole to the plasma membrane.
Q96SZ6	"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:22422838}.
Q96T52			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:15814844}; Single-pass membrane protein {ECO:0000305|PubMed:15814844}.
Q96T66			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12574164, ECO:0000269|PubMed:16118205}.
Q96TA2			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10843804, ECO:0000269|PubMed:22262461}. Mitochondrion {ECO:0000269|PubMed:26923599, ECO:0000269|PubMed:27495975}.
Q96TC7			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:16820967, ECO:0000269|PubMed:17361080, ECO:0000269|PubMed:22131369, ECO:0000269|PubMed:29858488}; Single-pass membrane protein {ECO:0000269|PubMed:16820967}. Cytoplasm {ECO:0000269|PubMed:17361080}. Nucleus {ECO:0000269|PubMed:17361080}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18070910}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:18070910}. Note=In interphase localizes in the cytoplasm, and during mitosis localizes to the spindle microtubules and spindle poles. {ECO:0000269|PubMed:18070910}.
Q99497			SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q99LX0}; Lipid-anchor {ECO:0000250|UniProtKB:Q99LX0}. Cytoplasm {ECO:0000269|PubMed:12851414, ECO:0000269|PubMed:14579415, ECO:0000269|PubMed:15976810, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:28596309}. Nucleus {ECO:0000269|PubMed:12851414, ECO:0000269|PubMed:14579415, ECO:0000269|PubMed:15976810, ECO:0000269|PubMed:16390825, ECO:0000269|PubMed:28596309}. Membrane raft {ECO:0000250|UniProtKB:O88767}. Mitochondrion {ECO:0000269|PubMed:15181200, ECO:0000269|PubMed:18711745, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:31536960}. Endoplasmic reticulum {ECO:0000269|PubMed:31536960}. Note=Under normal conditions, located predominantly in the cytoplasm and, to a lesser extent, in the nucleus and mitochondrion. Translocates to the mitochondrion and subsequently to the nucleus in response to oxidative stress and exerts an increased cytoprotective effect against oxidative damage (PubMed:18711745). Detected in tau inclusions in brains from neurodegenerative disease patients (PubMed:14705119). Membrane raft localization in astrocytes and neuronal cells requires palmitoylation. {ECO:0000269|PubMed:14705119, ECO:0000269|PubMed:18711745}.
Q99551	"TRANSIT 1..57; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion.
Q99595			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10339406}; Multi-pass membrane protein {ECO:0000255}.
Q99623			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:20959514, ECO:0000269|PubMed:28017329}. Cytoplasm {ECO:0000269|PubMed:17565718, ECO:0000269|PubMed:19496786, ECO:0000269|PubMed:32276428}. Nucleus {ECO:0000269|PubMed:17565718, ECO:0000269|PubMed:19496786, ECO:0000269|PubMed:20959514}. Cell membrane {ECO:0000269|PubMed:22997079, ECO:0000269|PubMed:24003225}. Note=Localizes within both nucleus and cytoplasm in proliferative primary myoblasts and mostly within the nucleus of differentiated primary myoblasts. {ECO:0000269|PubMed:17565718}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion inner membrane {ECO:0000305|PubMed:31522117}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion inner membrane {ECO:0000305|PubMed:31522117}.
Q99643	"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P35720"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:37098072}; Multi-pass membrane protein {ECO:0000269|PubMed:37098072}.
Q99714			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12917011, ECO:0000269|PubMed:18984158}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:24703694}.
Q99757	"TRANSIT 1..59; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19892738, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12032145, ECO:0000269|PubMed:12080052}.
Q99766	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P22027"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P22027}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:P22027}.
Q99797	"TRANSIT 1..35; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion matrix.
Q99798	"TRANSIT 1..27; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P16276}.
Q99807	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03194"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03194}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03194}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03194}. Mitochondrion {ECO:0000269|PubMed:25961505}. Nucleus {ECO:0000269|PubMed:25961505}. Chromosome {ECO:0000269|PubMed:25961505}.
Q9BPW8	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:30982665}.
Q9BPX6	"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000255, ECO:0000305|PubMed:26387864"""		SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:23747253, ECO:0000269|PubMed:24560927, ECO:0000269|PubMed:26387864}. Mitochondrion inner membrane {ECO:0000269|PubMed:23747253, ECO:0000269|PubMed:24231807, ECO:0000269|PubMed:26387864, ECO:0000269|PubMed:27099988, ECO:0000269|PubMed:28615291}. Note=Recruited to the mitochondrial inner membrane by EMRE/SMDT1 (PubMed:30454562). Also localizes to mitochondrial cristae junctions (PubMed:31427612). {ECO:0000269|PubMed:30454562, ECO:0000269|PubMed:31427612}.; SUBCELLULAR LOCATION: [Isoform 6]: Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q8VCX5}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q8VCX5}.
Q9BQ52	"TRANSIT 1..16; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:21593607}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:24703694}. Nucleus {ECO:0000269|PubMed:21593607}. Note=Mainly mitochondrial.
Q9BQ69			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23474712}. Note=Recruited to DNA lesions, probably via mono-APD-ribosylated proteins. {ECO:0000269|PubMed:23474712}.
Q9BQ95	"TRANSIT 1..48; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17344420, ECO:0000269|PubMed:25355951}. Nucleus {ECO:0000269|PubMed:17344420, ECO:0000269|PubMed:25355951}. Mitochondrion {ECO:0000269|PubMed:17344420, ECO:0000269|PubMed:25228397}.
Q9BQD7			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:31213526}; Single-pass membrane protein {ECO:0000255}.
Q9BQP7			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03030, ECO:0000269|PubMed:23313956, ECO:0000269|PubMed:23358826}.
Q9BQT8			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
Q9BRQ6			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:22228767}; Lipid-anchor {ECO:0000305|PubMed:22228767}. Mitochondrion {ECO:0000269|PubMed:25781180, ECO:0000269|PubMed:25997101}.
Q9BRQ8			SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:31634900}. Cell membrane {ECO:0000269|PubMed:31634900, ECO:0000269|PubMed:40233740}; Lipid-anchor {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:11980907, ECO:0000269|PubMed:12135761, ECO:0000269|PubMed:26689472}. Mitochondrion membrane {ECO:0000269|PubMed:11980907, ECO:0000269|PubMed:26689472}. Nucleus {ECO:0000269|PubMed:26689472}.
Q9BRT2	"TRANSIT 1..13; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion matrix, mitochondrion nucleoid. Mitochondrion. Mitochondrion intermembrane space {ECO:0000250}. Mitochondrion matrix {ECO:0000250}. Mitochondrion inner membrane {ECO:0000250}. Note=Predominantly expressed in the mitochondrial inner membrane. {ECO:0000250}.
Q9BRX8			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19951071}. Secreted {ECO:0000269|PubMed:26438880}. Note=Secreted from mature adipocytes but not from preadipocytes. {ECO:0000269|PubMed:26438880}.
Q9BSE5	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255}.
Q9BSF4	"TRANSIT 1..31; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:27554484, ECO:0000269|PubMed:27718247}; Single-pass membrane protein {ECO:0000305}; Intermembrane side {ECO:0000269|PubMed:27718247}.
Q9BSH4			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19503089}.
Q9BSK2			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:14715278}; Multi-pass membrane protein {ECO:0000255}.
