accession	source	n_domains	top_superfamily	cath_class	datasets
P78371	Chainsaw	3			proteome_bg
P98161	Chainsaw	9			proteome_bg
P78369	Chainsaw	1			proteome_bg
Q03721	Chainsaw	3			proteome_bg
P68104	Chainsaw	3			proteome_bg
P62324	Chainsaw	1			proteome_bg
P68371	Chainsaw	3			proteome_bg
Q01973	Chainsaw	3			proteome_bg
Q01860	Chainsaw	2			proteome_bg
Q01113	Chainsaw	3			proteome_bg
Q03395	Chainsaw	2			proteome_bg
P78385	Chainsaw	1			proteome_bg
P78527	Chainsaw	5			proteome_bg
P81274	Chainsaw	2			proteome_bg
P85037	Chainsaw	2			proteome_bg
P62899	Chainsaw	1			proteome_bg
Q00604	Chainsaw	1			proteome_bg
P83436	Chainsaw	4			proteome_bg
P82980	Chainsaw	1			proteome_bg
P63313	Chainsaw	1			proteome_bg
P98169	Chainsaw	2			proteome_bg
Q03181	Chainsaw	2			proteome_bg
Q01740	Chainsaw	3			proteome_bg
P62502	Chainsaw	1			proteome_bg
P62841	Chainsaw	1			proteome_bg
Q02078	Chainsaw	1			proteome_bg
Q00973	Chainsaw	3			proteome_bg
Q03113	Chainsaw	2			proteome_bg
Q01543	Chainsaw	2			proteome_bg
Q02535	Chainsaw	1			proteome_bg
Q02846	Chainsaw	4			proteome_bg
P62310	Chainsaw	1			proteome_bg
P98160	Chainsaw	7			proteome_bg
Q01064	Chainsaw	3			proteome_bg
P82970	Chainsaw	0			proteome_bg
P63215	Chainsaw	1			proteome_bg
P62714	Chainsaw	1			proteome_bg
P78345	Chainsaw	1			proteome_bg
P84022	Chainsaw	2			proteome_bg
Q02383	Chainsaw	0			proteome_bg
Q00013	Chainsaw	3			proteome_bg
P84101	Chainsaw	1			proteome_bg
P86790	Chainsaw	3			proteome_bg
Q03468	Chainsaw	4			proteome_bg
Q03060	Chainsaw	0			proteome_bg
P78543	Chainsaw	1			proteome_bg
P68366	Chainsaw	3			proteome_bg
Q01780	Chainsaw	5			proteome_bg
P78367	Chainsaw	0			proteome_bg
Q01629	Chainsaw	1			proteome_bg
Q01844	Chainsaw	1			proteome_bg
P78344	Chainsaw	3			proteome_bg
P84095	Chainsaw	1			proteome_bg
Q02413	Chainsaw	5			proteome_bg
P82673	Chainsaw	3			hsp60,matrix_bg,mito_bg
P85299	Chainsaw	1			proteome_bg
P78412	Chainsaw	1			proteome_bg
Q01638	Chainsaw	4			proteome_bg
Q00577	Chainsaw	2			proteome_bg
Q02094	Chainsaw	2			proteome_bg
P69905	Chainsaw	1			proteome_bg
P81605	Chainsaw	1			proteome_bg
P81277	Chainsaw	1			proteome_bg
P78406	Chainsaw	1			proteome_bg
Q02930	Chainsaw	0			proteome_bg
Q01955	Chainsaw	1			proteome_bg
Q03013	Chainsaw	2			proteome_bg
P98155	Chainsaw	1			proteome_bg
P86479	Chainsaw	1			proteome_bg
Q01167	Chainsaw	2			proteome_bg
P98077	Chainsaw	2			proteome_bg
Q03111	Chainsaw	1			proteome_bg
P78314	Chainsaw	2			proteome_bg
Q02241	Chainsaw	3			proteome_bg
P62760	Chainsaw	2			proteome_bg
Q02086	Chainsaw	2			proteome_bg
P79522	Chainsaw	0			proteome_bg
Q03393	Chainsaw	1			proteome_bg
P63218	Chainsaw	1			proteome_bg
P63145	Chainsaw	4			proteome_bg
P98073	Chainsaw	5			proteome_bg
Q02156	Chainsaw	3			proteome_bg
Q00341	Chainsaw	10			proteome_bg
P98082	Chainsaw	1			proteome_bg
P62917	Chainsaw	1			proteome_bg
P78362	Chainsaw	2			proteome_bg
P83881	Chainsaw	1			proteome_bg
Q02363	Chainsaw	1			proteome_bg
Q02539	Chainsaw	1			proteome_bg
P78337	Chainsaw	1			proteome_bg
Q01954	Chainsaw	2			proteome_bg
Q00169	Chainsaw	1			proteome_bg
P62701	Chainsaw	2			proteome_bg
P83731	Chainsaw	2			proteome_bg
P78383	Chainsaw	1			proteome_bg
P86481	Chainsaw	1			proteome_bg
P68543	Chainsaw	2			proteome_bg
P62280	Chainsaw	1			proteome_bg
P62891	Chainsaw	0			proteome_bg
P80294	Chainsaw	0			proteome_bg
P98153	Chainsaw	3			proteome_bg
Q00765	Chainsaw	1			proteome_bg
P98171	Chainsaw	4			proteome_bg
P68402	Chainsaw	1			proteome_bg
P63151	Chainsaw	1			proteome_bg
P63267	Chainsaw	3			proteome_bg
Q01850	Chainsaw	1			proteome_bg
P62487	Chainsaw	2			proteome_bg
Q01524	Chainsaw	1			proteome_bg
P62906	Chainsaw	2			proteome_bg
Q01892	Chainsaw	1			proteome_bg
P83369	Chainsaw	2			proteome_bg
P98194	Chainsaw	5			proteome_bg
P62753	Chainsaw	2			proteome_bg
Q01101	Chainsaw	2			proteome_bg
P62318	Chainsaw	1			proteome_bg
Q02543	Chainsaw	2			proteome_bg
Q03701	Chainsaw	4			proteome_bg
P78364	Chainsaw	1			proteome_bg
Q02952	Chainsaw	0			proteome_bg
P62508	Chainsaw	2			proteome_bg
P80098	Chainsaw	1			proteome_bg
P82979	Chainsaw	2			proteome_bg
Q03938	Chainsaw	3			proteome_bg
P63096	Chainsaw	2			proteome_bg
Q00444	Chainsaw	1			proteome_bg
Q00610	Chainsaw	4			proteome_bg
Q03052	Chainsaw	2			proteome_bg
Q03431	Chainsaw	1			proteome_bg
P78411	Chainsaw	1			proteome_bg
Q01668	Chainsaw	6			proteome_bg
P62316	Chainsaw	1			proteome_bg
Q00403	Chainsaw	2			proteome_bg
P98177	Chainsaw	1			proteome_bg
Q02928	Chainsaw	2			proteome_bg
Q02446	Chainsaw	2			proteome_bg
P86452	Chainsaw	3			proteome_bg
P80075	Chainsaw	1			proteome_bg
P68363	Chainsaw	3			proteome_bg
P62861	Chainsaw	2			proteome_bg
Q01518	Chainsaw	3			proteome_bg
Q03828	Chainsaw	0			proteome_bg
P78363	Chainsaw	7			proteome_bg
P62491	Chainsaw	1			proteome_bg
P62750	Chainsaw	1			proteome_bg
P98198	Chainsaw	4			proteome_bg
P63135	Chainsaw	6			proteome_bg
Q01658	Chainsaw	1			proteome_bg
P62847	Chainsaw	1			proteome_bg
P98182	Chainsaw	1			proteome_bg
P78316	Chainsaw	5			proteome_bg
Q00987	Chainsaw	2			proteome_bg
P84243	Chainsaw	1			proteome_bg
P62875	Chainsaw	1			proteome_bg
P98179	Chainsaw	1			proteome_bg
Q02641	Chainsaw	2			proteome_bg
P80748	Chainsaw	1			proteome_bg
P84077	Chainsaw	1			proteome_bg
P78410	Chainsaw	2			proteome_bg
P78381	Chainsaw	1			proteome_bg
P86480	Chainsaw	0			proteome_bg
P83105	Chainsaw	3			proteome_bg
P78324	Chainsaw	3			proteome_bg
P78545	Chainsaw	2			proteome_bg
Q00722	Chainsaw	5			proteome_bg
P62829	Chainsaw	1			proteome_bg
Q07343	Chainsaw	2			proteome_bg
Q13291	Chainsaw	2			proteome_bg
Q04759	Chainsaw	3			proteome_bg
Q12951	Chainsaw	1			proteome_bg
Q07960	Chainsaw	2			proteome_bg
Q05397	Chainsaw	4			proteome_bg
Q12766	Chainsaw	3			proteome_bg
Q0P6H9	Chainsaw	2			proteome_bg
Q08623	Chainsaw	2			proteome_bg
Q12841	Chainsaw	2			proteome_bg
Q13367	Chainsaw	4			proteome_bg
Q06265	Chainsaw	1			proteome_bg
Q0VDD5	Chainsaw	1			proteome_bg
Q12852	Chainsaw	1			proteome_bg
Q13278	Chainsaw	1			proteome_bg
Q12798	Chainsaw	2			proteome_bg
Q13287	Chainsaw	2			proteome_bg
Q13049	Chainsaw	3			proteome_bg
Q06124	Chainsaw	3			proteome_bg
Q13330	Chainsaw	3			proteome_bg
Q12899	Chainsaw	4			proteome_bg
Q04900	Chainsaw	1			proteome_bg
Q12962	Chainsaw	1			proteome_bg
Q08462	Chainsaw	3			proteome_bg
Q13231	Chainsaw	2			proteome_bg
Q09327	Chainsaw	2			proteome_bg
Q07011	Chainsaw	1			proteome_bg
Q13115	Chainsaw	2			proteome_bg
Q07890	Chainsaw	4			proteome_bg
Q07654	Chainsaw	1			proteome_bg
Q12792	Chainsaw	2			proteome_bg
Q13363	Chainsaw	2			proteome_bg
Q06413	Chainsaw	1			proteome_bg
Q13042	Chainsaw	2			proteome_bg
Q13347	Chainsaw	1			proteome_bg
Q13336	Chainsaw	2			proteome_bg
Q12955	Chainsaw	5			proteome_bg
Q0VDF9	Chainsaw	3			proteome_bg
Q0VF49	Chainsaw	0			proteome_bg
Q08ER8	Chainsaw	3			proteome_bg
Q04725	Chainsaw	2			proteome_bg
Q13349	Chainsaw	5			proteome_bg
Q13228	Chainsaw	1			proteome_bg
Q05D32	Chainsaw	2			proteome_bg
Q13061	Chainsaw	1			proteome_bg
Q075Z2	Chainsaw	2			proteome_bg
Q12873	Chainsaw	4			proteome_bg
Q05209	Chainsaw	1			proteome_bg
Q11130	Chainsaw	2			proteome_bg
Q12768	Chainsaw	5			proteome_bg
Q12846	Chainsaw	1			proteome_bg
Q08334	Chainsaw	3			proteome_bg
Q05084	Chainsaw	2			proteome_bg
Q13093	Chainsaw	2			proteome_bg
Q12860	Chainsaw	9			proteome_bg
Q13070	Chainsaw	0			proteome_bg
Q0VFX4	Chainsaw	0			proteome_bg
Q13117	Chainsaw	1			proteome_bg
Q04637	Chainsaw	2			proteome_bg
Q0VDD8	Chainsaw	5			proteome_bg
Q13332	Chainsaw	13			proteome_bg
Q0D2K5	Chainsaw	1			proteome_bg
Q13277	Chainsaw	1			proteome_bg
Q13323	Chainsaw	1			mito_bg
Q06323	Chainsaw	1			proteome_bg
Q08378	Chainsaw	1			proteome_bg
Q04721	Chainsaw	4			proteome_bg
Q12770	Chainsaw	3			proteome_bg
Q04656	Chainsaw	9			proteome_bg
Q05586	Chainsaw	5			proteome_bg
Q13214	Chainsaw	2			proteome_bg
Q08357	Chainsaw	2			proteome_bg
Q05066	Chainsaw	1			proteome_bg
Q08830	Chainsaw	1			proteome_bg
Q13283	Chainsaw	2			proteome_bg
Q0P140	Chainsaw	1			proteome_bg
Q05940	Chainsaw	2			proteome_bg
Q13153	Chainsaw	2			proteome_bg
Q10587	Chainsaw	1			proteome_bg
Q10571	Chainsaw	0			proteome_bg
Q0IIN9	Chainsaw	0			proteome_bg
Q12816	Chainsaw	2			proteome_bg
Q12980	Chainsaw	4			proteome_bg
Q06547	Chainsaw	2			proteome_bg
Q12933	Chainsaw	3			proteome_bg
Q12809	Chainsaw	3			proteome_bg
Q12882	Chainsaw	5			proteome_bg
Q13255	Chainsaw	4			proteome_bg
Q0VAQ4	Chainsaw	1			proteome_bg
Q06945	Chainsaw	1			proteome_bg
Q04844	Chainsaw	3			proteome_bg
Q08AG5	Chainsaw	3			proteome_bg
Q08397	Chainsaw	2			proteome_bg
Q09FC8	Chainsaw	1			proteome_bg
Q08209	Chainsaw	2			proteome_bg
Q12908	Chainsaw	1			proteome_bg
Q08117	Chainsaw	1			proteome_bg
Q05516	Chainsaw	3			proteome_bg
Q0VAF6	Chainsaw	1			proteome_bg
Q13239	Chainsaw	2			proteome_bg
Q06710	Chainsaw	2			proteome_bg
Q13015	Chainsaw	0			proteome_bg
Q13023	Chainsaw	3			proteome_bg
Q05086	Chainsaw	5			proteome_bg
Q06187	Chainsaw	4			proteome_bg
Q13394	Chainsaw	2			proteome_bg
Q0P670	Chainsaw	0			proteome_bg
Q12870	Chainsaw	1			proteome_bg
Q12888	Chainsaw	2			proteome_bg
Q13308	Chainsaw	8			proteome_bg
Q06278	Chainsaw	5			proteome_bg
Q13227	Chainsaw	1			proteome_bg
Q07954	Chainsaw	4			proteome_bg
Q13286	Chainsaw	2			proteome_bg
Q08050	Chainsaw	2			proteome_bg
Q07889	Chainsaw	4			proteome_bg
Q05195	Chainsaw	1			proteome_bg
Q13241	Chainsaw	1			proteome_bg
Q13370	Chainsaw	2			proteome_bg
Q13201	Chainsaw	3			proteome_bg
Q13163	Chainsaw	2			proteome_bg
Q13263	Chainsaw	4			proteome_bg
Q13017	Chainsaw	6			proteome_bg
Q05823	Chainsaw	3			proteome_bg
Q07869	Chainsaw	2			proteome_bg
Q08043	Chainsaw	5			proteome_bg
Q12789	Chainsaw	7			proteome_bg
Q13224	Chainsaw	4			proteome_bg
Q12857	Chainsaw	1			proteome_bg
Q0VG73	Chainsaw	1			proteome_bg
Q06495	Chainsaw	2			proteome_bg
Q12923	Chainsaw	7			proteome_bg
Q12974	Chainsaw	1			proteome_bg
Q12840	Chainsaw	2			proteome_bg
Q13216	Chainsaw	1			proteome_bg
Q12999	Chainsaw	1			proteome_bg
Q13326	Chainsaw	2			proteome_bg
Q05469	Chainsaw	3			proteome_bg
Q13114	Chainsaw	4			proteome_bg
Q10588	Chainsaw	1			proteome_bg
Q05655	Chainsaw	3			proteome_bg
Q0D2K3	Chainsaw	1			proteome_bg
Q13003	Chainsaw	5			proteome_bg
Q0VG99	Chainsaw	1			proteome_bg
Q0D2H9	Chainsaw	1			proteome_bg
Q13393	Chainsaw	3			proteome_bg
Q13188	Chainsaw	2			proteome_bg
Q12981	Chainsaw	1			proteome_bg
Q04864	Chainsaw	2			proteome_bg
Q09666	Chainsaw	2			proteome_bg
Q07444	Chainsaw	2			proteome_bg
Q13316	Chainsaw	0			proteome_bg
Q13207	Chainsaw	1			proteome_bg
Q13200	Chainsaw	3			proteome_bg
Q0P5N6	Chainsaw	1			proteome_bg
Q10570	Chainsaw	3			proteome_bg
Q13191	Chainsaw	3			proteome_bg
Q07955	Chainsaw	2			proteome_bg
Q12982	Chainsaw	1			proteome_bg
Q13360	Chainsaw	4			proteome_bg
Q04828	Chainsaw	1			proteome_bg
Q13075	Chainsaw	6			proteome_bg
Q06210	Chainsaw	2			proteome_bg
Q07687	Chainsaw	1			proteome_bg
Q13106	Chainsaw	2			proteome_bg
Q07065	Chainsaw	2			proteome_bg
Q0VD86	Chainsaw	1			proteome_bg
Q0VDG4	Chainsaw	2			proteome_bg
Q05682	Chainsaw	2			proteome_bg
Q08AN1	Chainsaw	2			proteome_bg
Q12797	Chainsaw	3			proteome_bg
Q10471	Chainsaw	2			proteome_bg
Q13103	Chainsaw	1			proteome_bg
Q08AF3	Chainsaw	5			proteome_bg
Q0VDI3	Chainsaw	1			proteome_bg
Q13111	Chainsaw	3			proteome_bg
Q13309	Chainsaw	1			proteome_bg
Q05DH4	Chainsaw	3			proteome_bg
Q0VD83	Chainsaw	0			proteome_bg
Q12834	Chainsaw	2			proteome_bg
Q08E93	Chainsaw	1			proteome_bg
Q0GE19	Chainsaw	1			proteome_bg
Q12765	Chainsaw	2			proteome_bg
Q13203	Chainsaw	4			proteome_bg
Q08828	Chainsaw	4			proteome_bg
Q10469	Chainsaw	1			proteome_bg
Q06730	Chainsaw	3			proteome_bg
Q04917	Chainsaw	1			proteome_bg
Q13304	Chainsaw	1			proteome_bg
Q12796	Chainsaw	0			proteome_bg
Q0VGL1	Chainsaw	1			proteome_bg
Q12907	Chainsaw	1			proteome_bg
Q07326	Chainsaw	1			proteome_bg
Q05215	Chainsaw	0			proteome_bg
Q12905	Chainsaw	2			proteome_bg
Q07075	Chainsaw	2			proteome_bg
Q08AG7	Chainsaw	1			proteome_bg
Q12913	Chainsaw	9			proteome_bg
Q10567	Chainsaw	5			proteome_bg
Q13243	Chainsaw	2			proteome_bg
Q04724	Chainsaw	2			proteome_bg
Q12879	Chainsaw	4			proteome_bg
Q04726	Chainsaw	2			proteome_bg
Q04695	Chainsaw	1			proteome_bg
Q13105	Chainsaw	4			proteome_bg
Q0VAK6	Chainsaw	4			proteome_bg
Q0VAA5	Chainsaw	1			proteome_bg
Q04741	Chainsaw	1			proteome_bg
Q12950	Chainsaw	1			proteome_bg
Q09MP3	Chainsaw	1			proteome_bg
Q07617	Chainsaw	5			proteome_bg
Q12904	Chainsaw	1			proteome_bg
Q13123	Chainsaw	1			proteome_bg
Q08881	Chainsaw	4			proteome_bg
Q13045	Chainsaw	4			proteome_bg
Q05952	Chainsaw	0			proteome_bg
Q06033	Chainsaw	4			proteome_bg
Q05996	Chainsaw	5			proteome_bg
Q13133	Chainsaw	2			proteome_bg
Q06203	Chainsaw	2			proteome_bg
Q12952	Chainsaw	1			proteome_bg
Q0VF96	Chainsaw	1			proteome_bg
Q13099	Chainsaw	2			proteome_bg
Q0P651	Chainsaw	2			proteome_bg
Q13202	Chainsaw	3			proteome_bg
Q0WX57	Chainsaw	2			proteome_bg
Q08379	Chainsaw	1			proteome_bg
Q05193	Chainsaw	3			proteome_bg
Q08AD1	Chainsaw	3			proteome_bg
Q05923	Chainsaw	2			proteome_bg
Q13046	Chainsaw	4			proteome_bg
Q13043	Chainsaw	2			proteome_bg
Q12836	Chainsaw	3			proteome_bg
Q13285	Chainsaw	2			proteome_bg
Q06418	Chainsaw	5			proteome_bg
Q08289	Chainsaw	2			proteome_bg
Q12778	Chainsaw	1			proteome_bg
Q13361	Chainsaw	1			proteome_bg
Q08AI6	Chainsaw	1			proteome_bg
Q0VAM2	Chainsaw	2			proteome_bg
Q12767	Chainsaw	4			proteome_bg
Q08ET2	Chainsaw	3			proteome_bg
Q12800	Chainsaw	3			proteome_bg
Q12972	Chainsaw	1			proteome_bg
Q13242	Chainsaw	2			proteome_bg
Q12829	Chainsaw	2			proteome_bg
Q12996	Chainsaw	3			proteome_bg
Q12802	Chainsaw	1			proteome_bg
Q13018	Chainsaw	9			proteome_bg
Q08499	Chainsaw	2			proteome_bg
Q13155	Chainsaw	2			proteome_bg
Q08170	Chainsaw	2			proteome_bg
Q07092	Chainsaw	1			proteome_bg
Q09428	Chainsaw	4			proteome_bg
Q13183	Chainsaw	2			proteome_bg
Q07912	Chainsaw	3			proteome_bg
Q12866	Chainsaw	5			proteome_bg
Q08380	Chainsaw	3			proteome_bg
Q13033	Chainsaw	2			proteome_bg
Q13118	Chainsaw	1			proteome_bg
Q12791	Chainsaw	4			proteome_bg
Q13185	Chainsaw	2			proteome_bg
Q07699	Chainsaw	1			proteome_bg
Q13021	Chainsaw	1			proteome_bg
Q12948	Chainsaw	1			proteome_bg
Q06828	Chainsaw	0			proteome_bg
Q07157	Chainsaw	3			proteome_bg
Q06732	Chainsaw	4			proteome_bg
Q08AI8	Chainsaw	2			proteome_bg
Q08345	Chainsaw	3			proteome_bg
Q13158	Chainsaw	2			proteome_bg
Q13177	Chainsaw	2			proteome_bg
Q0ZLH3	Chainsaw	2			proteome_bg
Q0Z7S8	Chainsaw	1			proteome_bg
Q12934	Chainsaw	1			proteome_bg
Q07283	Chainsaw	1			proteome_bg
Q13066	Chainsaw	0			proteome_bg
Q13356	Chainsaw	4			proteome_bg
Q05925	Chainsaw	0			proteome_bg
Q10589	Chainsaw	1			proteome_bg
Q12874	Chainsaw	4			proteome_bg
Q13137	Chainsaw	2			proteome_bg
Q08554	Chainsaw	7			proteome_bg
Q12772	Chainsaw	2			proteome_bg
Q11201	Chainsaw	1			proteome_bg
Q13275	Chainsaw	3			proteome_bg
Q06432	Chainsaw	2			proteome_bg
Q13352	Chainsaw	1			proteome_bg
Q12756	Chainsaw	7			proteome_bg
Q13257	Chainsaw	1			proteome_bg
Q13217	Chainsaw	3			proteome_bg
Q09019	Chainsaw	2			proteome_bg
Q05707	Chainsaw	10			proteome_bg
Q13319	Chainsaw	1			proteome_bg
Q04727	Chainsaw	2			proteome_bg
Q13077	Chainsaw	3			proteome_bg
Q13166	Chainsaw	1			proteome_bg
Q0VG06	Chainsaw	3			proteome_bg
Q06136	Chainsaw	1			proteome_bg
Q08431	Chainsaw	2			proteome_bg
Q08188	Chainsaw	4			proteome_bg
Q09472	Chainsaw	4			proteome_bg
Q10981	Chainsaw	2			proteome_bg
Q13131	Chainsaw	3			proteome_bg
Q13253	Chainsaw	1			proteome_bg
Q12918	Chainsaw	1			proteome_bg
Q12912	Chainsaw	2			proteome_bg
Q12926	Chainsaw	3			proteome_bg
Q13387	Chainsaw	1			proteome_bg
Q0VFZ6	Chainsaw	1			proteome_bg
Q12979	Chainsaw	4			proteome_bg
Q13127	Chainsaw	2			proteome_bg
Q13258	Chainsaw	1			proteome_bg
Q12946	Chainsaw	1			proteome_bg
Q12988	Chainsaw	1			proteome_bg
Q07020	Chainsaw	1			proteome_bg
Q07866	Chainsaw	2			proteome_bg
Q13219	Chainsaw	9			proteome_bg
Q13145	Chainsaw	2			proteome_bg
Q08708	Chainsaw	1			proteome_bg
Q07108	Chainsaw	1			proteome_bg
Q07627	Chainsaw	0			proteome_bg
Q13098	Chainsaw	3			proteome_bg
Q06643	Chainsaw	1			proteome_bg
Q09161	Chainsaw	4			proteome_bg
Q12805	Chainsaw	4			proteome_bg
Q06416	Chainsaw	2			proteome_bg
Q05D60	Chainsaw	1			proteome_bg
Q13233	Chainsaw	4			proteome_bg
Q0P6D2	Chainsaw	3			proteome_bg
Q13136	Chainsaw	3			proteome_bg
Q13029	Chainsaw	1			proteome_bg
Q05329	Chainsaw	3			proteome_bg
Q06481	Chainsaw	4			proteome_bg
Q0ZGT2	Chainsaw	3			proteome_bg
Q06330	Chainsaw	3			proteome_bg
Q06250	Chainsaw	1			proteome_bg
Q06889	Chainsaw	1			proteome_bg
Q12967	Chainsaw	3			proteome_bg
Q13107	Chainsaw	4			proteome_bg
Q12794	Chainsaw	2			proteome_bg
Q12774	Chainsaw	2			proteome_bg
Q12986	Chainsaw	3			proteome_bg
Q12891	Chainsaw	2			proteome_bg
Q09328	Chainsaw	4			proteome_bg
Q08945	Chainsaw	5			proteome_bg
Q06609	Chainsaw	2			proteome_bg
Q0JRZ9	Chainsaw	2			proteome_bg
Q13371	Chainsaw	2			proteome_bg
Q13156	Chainsaw	2			proteome_bg
Q04671	Chainsaw	5			proteome_bg
Q13144	Chainsaw	3			proteome_bg
Q13368	Chainsaw	5			proteome_bg
Q07002	Chainsaw	3			proteome_bg
Q13315	Chainsaw	4			proteome_bg
Q04609	Chainsaw	3			proteome_bg
Q12889	Chainsaw	1			proteome_bg
Q06520	Chainsaw	1			proteome_bg
Q12901	Chainsaw	4			proteome_bg
Q05519	Chainsaw	2			proteome_bg
Q13129	Chainsaw	4			proteome_bg
Q13342	Chainsaw	3			proteome_bg
Q12872	Chainsaw	3			proteome_bg
Q13069	Chainsaw	0			proteome_bg
Q0D2J5	Chainsaw	2			proteome_bg
Q13247	Chainsaw	2			proteome_bg
Q04756	Chainsaw	3			proteome_bg
Q08752	Chainsaw	2			proteome_bg
Q10472	Chainsaw	4			proteome_bg
Q12788	Chainsaw	3			proteome_bg
Q08AM6	Chainsaw	2			proteome_bg
Q0PNE2	Chainsaw	1			proteome_bg
Q05C16	Chainsaw	2			proteome_bg
Q08174	Chainsaw	7			proteome_bg
Q12929	Chainsaw	4			proteome_bg
Q13148	Chainsaw	3			proteome_bg
Q08999	Chainsaw	5			proteome_bg
Q06141	Chainsaw	1			proteome_bg
Q11206	Chainsaw	1			proteome_bg
Q13009	Chainsaw	4			proteome_bg
Q12851	Chainsaw	3			proteome_bg
Q13007	Chainsaw	2			proteome_bg
Q08629	Chainsaw	4			proteome_bg
Q04760	Chainsaw	2			proteome_bg
Q12830	Chainsaw	2			proteome_bg
Q13206	Chainsaw	4			proteome_bg
Q09028	Chainsaw	1			proteome_bg
Q05315	Chainsaw	1			proteome_bg
Q13324	Chainsaw	2			proteome_bg
Q07325	Chainsaw	1			proteome_bg
Q13401	Chainsaw	1			proteome_bg
Q0VDE8	Chainsaw	0			proteome_bg
Q12824	Chainsaw	3			proteome_bg
Q06190	Chainsaw	2			proteome_bg
Q12884	Chainsaw	2			proteome_bg
Q08493	Chainsaw	2			proteome_bg
Q13303	Chainsaw	2			proteome_bg
Q0P5P2	Chainsaw	1			proteome_bg
Q05513	Chainsaw	2			proteome_bg
Q05BU3	Chainsaw	0			proteome_bg
Q09470	Chainsaw	3			proteome_bg
Q12894	Chainsaw	2			proteome_bg
Q13164	Chainsaw	3			proteome_bg
Q08211	Chainsaw	6			proteome_bg
Q06546	Chainsaw	3			proteome_bg
Q13002	Chainsaw	5			proteome_bg
Q12959	Chainsaw	6			proteome_bg
Q13296	Chainsaw	1			proteome_bg
Q0P6D6	Chainsaw	1			proteome_bg
Q07837	Chainsaw	4			proteome_bg
Q13072	Chainsaw	0			proteome_bg
Q12965	Chainsaw	5			proteome_bg
Q0IIM8	Chainsaw	5			proteome_bg
Q11203	Chainsaw	1			proteome_bg
Q06830	Chainsaw	2			proteome_bg
Q07864	Chainsaw	9			proteome_bg
Q05901	Chainsaw	2			proteome_bg
Q04941	Chainsaw	1			proteome_bg
Q12769	Chainsaw	5			proteome_bg
Q07001	Chainsaw	3			proteome_bg
Q07352	Chainsaw	1			proteome_bg
Q0D2K0	Chainsaw	2			proteome_bg
Q04912	Chainsaw	6			proteome_bg
Q12906	Chainsaw	3			proteome_bg
Q0VGE8	Chainsaw	3			proteome_bg
Q05481	Chainsaw	5			proteome_bg
Q0D2I5	Chainsaw	1			proteome_bg
Q13310	Chainsaw	4			proteome_bg
Q08648	Chainsaw	1			proteome_bg
Q13151	Chainsaw	2			proteome_bg
Q13261	Chainsaw	1			proteome_bg
Q0VAA2	Chainsaw	2			proteome_bg
Q13351	Chainsaw	0			proteome_bg
Q13113	Chainsaw	1			proteome_bg
Q13325	Chainsaw	2			proteome_bg
Q107X0	Chainsaw	0			proteome_bg
Q07507	Chainsaw	1			proteome_bg
Q05639	Chainsaw	3			proteome_bg
Q10586	Chainsaw	1			proteome_bg
Q06455	Chainsaw	2			proteome_bg
Q06587	Chainsaw	2			proteome_bg
Q08722	Chainsaw	2			proteome_bg
Q13395	Chainsaw	4			proteome_bg
Q05BQ5	Chainsaw	5			proteome_bg
Q13126	Chainsaw	1			proteome_bg
Q13322	Chainsaw	3			proteome_bg
Q08116	Chainsaw	1			proteome_bg
Q13094	Chainsaw	2			proteome_bg
Q13398	Chainsaw	2			proteome_bg
Q13087	Chainsaw	4			proteome_bg
Q0P641	Chainsaw	1			proteome_bg
Q13237	Chainsaw	3			proteome_bg
Q08477	Chainsaw	2			proteome_bg
Q0VDD7	Chainsaw	1			proteome_bg
Q11128	Chainsaw	2			proteome_bg
Q13064	Chainsaw	3			proteome_bg
Q08495	Chainsaw	4			proteome_bg
Q06787	Chainsaw	4			proteome_bg
Q04771	Chainsaw	3			proteome_bg
Q05BV3	Chainsaw	6			proteome_bg
Q07666	Chainsaw	2			proteome_bg
Q12837	Chainsaw	2			proteome_bg
Q13362	Chainsaw	2			proteome_bg
Q13112	Chainsaw	1			proteome_bg
Q12947	Chainsaw	1			proteome_bg
Q05048	Chainsaw	2			proteome_bg
Q04743	Chainsaw	2			proteome_bg
Q13190	Chainsaw	1			proteome_bg
Q12893	Chainsaw	1			proteome_bg
Q0D2K2	Chainsaw	3			proteome_bg
Q12815	Chainsaw	0			proteome_bg
Q12864	Chainsaw	7			proteome_bg
Q12968	Chainsaw	2			proteome_bg
Q15048	Chainsaw	1			proteome_bg
Q13797	Chainsaw	5			proteome_bg
Q13952	Chainsaw	2			proteome_bg
Q13769	Chainsaw	4			proteome_bg
Q14207	Chainsaw	1			proteome_bg
Q13733	Chainsaw	5			proteome_bg
Q13901	Chainsaw	1			proteome_bg
Q15040	Chainsaw	1			proteome_bg
Q13523	Chainsaw	2			proteome_bg
Q14689	Chainsaw	3			proteome_bg
Q13470	Chainsaw	4			proteome_bg
Q14565	Chainsaw	2			proteome_bg
Q14031	Chainsaw	1			proteome_bg
Q14344	Chainsaw	2			proteome_bg
Q13596	Chainsaw	2			proteome_bg
Q14839	Chainsaw	4			proteome_bg
Q13557	Chainsaw	3			proteome_bg
Q13635	Chainsaw	4			proteome_bg
Q14145	Chainsaw	3			proteome_bg
Q15054	Chainsaw	1			proteome_bg
Q14789	Chainsaw	1			proteome_bg
Q14439	Chainsaw	2			proteome_bg
