uniprot_accession	cluster_id	cluster_representative	cluster_size	organism	dataset_labels
Q17RG1	10379	Q17RG1	1	unknown	background
Q17RH7	10380	Q17RH7	1	unknown	background
Q17RM4	10381	Q17RM4	1	unknown	background
Q17RN3	1493	Q17RN3	3	unknown	background
Q17RP2	10382	Q17RP2	1	unknown	background
Q17RQ9	10383	Q17RQ9	1	unknown	background
Q17RR3	825	P16233	4	unknown	background
Q17RS7	10384	Q17RS7	1	unknown	background
Q17RW2	96	P13942	15	unknown	background
Q17RY0	1614	Q8NE35	3	unknown	background
Q17RY6	10385	Q17RY6	1	unknown	background
Q18PE1	10386	Q18PE1	1	unknown	background
Q19AV6	10387	Q19AV6	1	unknown	background
Q19T08	10388	Q19T08	1	unknown	background
Q1A5X6	10389	Q1A5X6	1	unknown	background
Q1A5X7	10390	Q1A5X7	1	unknown	background
Q1AE95	3260	Q8IXX5	2	unknown	background
Q1ED39	10391	Q1ED39	1	unknown	background
Q1EHB4	964	Q8N695	4	unknown	background
Q1HG43	2947	Q1HG44	2	unknown	background
Q1HG44	2947	Q1HG44	2	unknown	background
Q1KMD3	1494	Q1KMD3	3	unknown	background
Q1L5Z9	1495	Q1L5Z9	3	unknown	background
Q1L6U9	10392	Q1L6U9	1	unknown	background
Q1MSJ5	10393	Q1MSJ5	1	unknown	background
Q1MX18	10394	Q1MX18	1	unknown	background
Q1RMZ1	10395	Q1RMZ1	1	unknown	background
Q1RN00	10396	Q1RN00	1	unknown	background
Q1T7F1	10397	Q1T7F1	1	unknown	background
Q1W209	10398	Q1W209	1	unknown	background
Q1W4C9	10399	Q1W4C9	1	unknown	background
Q1W6H9	10400	Q1W6H9	1	unknown	background
Q1X8D7	10401	Q1X8D7	1	unknown	background
Q1XH10	10402	Q1XH10	1	unknown	background
Q1ZYL8	10403	Q1ZYL8	1	unknown	background
Q1ZZU3	10404	Q1ZZU3	1	unknown	background
Q24JP5	646	Q14C87	5	unknown	background
Q24JQ0	10405	Q24JQ0	1	unknown	background
Q27J81	10406	Q27J81	1	unknown	background
Q29980	2948	Q29983	2	unknown	background
Q29983	2948	Q29983	2	unknown	background
Q29RF7	2949	Q29RF7	2	unknown	background
Q2EEP9	10407	Q2EEP9	1	unknown	background
Q2EEQ2	2230	P0A7Q6	2	unknown	background
Q2EEQ3	10408	Q2EEQ3	1	unknown	background
Q2EEQ8	10409	Q2EEQ8	1	unknown	background
Q2EER5	10410	Q2EER5	1	unknown	background
Q2EES0	10411	Q2EES0	1	unknown	background
Q2EES1	10412	Q2EES1	1	unknown	background
Q2EES3	10413	Q2EES3	1	unknown	background
Q2EES6	10414	Q2EES6	1	unknown	background
Q2EES9	10415	Q2EES9	1	unknown	background
Q2EET0	10416	Q2EET0	1	unknown	background
Q2EET2	10417	Q2EET2	1	unknown	background
Q2EEU2	10418	Q2EEU2	1	unknown	background
Q2HXU8	1496	Q2HXU8	3	unknown	background
Q2I0M4	654	Q5VT99	5	unknown	background
Q2I0M5	924	Q2I0M5	4	unknown	background
Q2KHM9	10419	Q2KHM9	1	unknown	background
Q2KHN1	10420	Q2KHN1	1	unknown	background
Q2KHR2	10421	Q2KHR2	1	unknown	background
Q2KHR3	10422	Q2KHR3	1	unknown	background
Q2KHT3	10423	Q2KHT3	1	unknown	background
Q2KHT4	1083	A8MUP6	3	unknown	background
Q2KJY2	2950	Q2KJY2	2	unknown	background
Q2L4Q9	3004	Q5K4E3	2	unknown	background
Q2LD37	446	AF-Q2LD37-F9-model_v6	6	unknown	background
Q2M1K9	2951	Q2M1K9	2	unknown	background
Q2M1P5	2952	Q2M1P5	2	unknown	background
Q2M1V0	10424	Q2M1V0	1	unknown	background
Q2M1Z3	10425	Q2M1Z3	1	unknown	background
Q2M218	3	Q96IR2	176	unknown	background
Q2M238	10426	Q2M238	1	unknown	background
Q2M243	10427	Q2M243	1	unknown	background
Q2M296	10428	Q2M296	1	unknown	background
Q2M2D7	2953	Q2M2D7	2	unknown	background
Q2M2E3	10429	Q2M2E3	1	unknown	background
Q2M2E5	10430	Q2M2E5	1	unknown	background
Q2M2H8	155	AF-O43451-F4-model_v6	11	unknown	background
Q2M2I3	10431	Q2M2I3	1	unknown	background
Q2M2I5	65	Q9C075	18	unknown	background
Q2M2I8	3773	Q9NSY1	2	unknown	background
Q2M2W7	10432	Q2M2W7	1	unknown	background
Q2M2Z5	10433	Q2M2Z5	1	unknown	background
Q2M329	10434	Q2M329	1	unknown	background
Q2M385	10435	Q2M385	1	unknown	background
Q2M389	10436	Q2M389	1	unknown	background
Q2M3A8	10437	Q2M3A8	1	unknown	background
Q2M3C6	10438	Q2M3C6	1	unknown	background
Q2M3C7	10439	Q2M3C7	1	human	mito
Q2M3D2	10440	Q2M3D2	1	unknown	background
Q2M3G0	925	Q2M3G0	4	unknown	background
Q2M3G4	10441	Q2M3G4	1	unknown	background
Q2M3M2	262	P31639	8	unknown	background
Q2M3R5	10442	Q2M3R5	1	unknown	background
Q2M3T9	641	Q12794	5	unknown	background
Q2M3V2	1900	A6NJG2	2	unknown	background
Q2M3W8	2	A6NM28	207	unknown	background
Q2M3X9	2	A6NM28	207	unknown	background
Q2M5E4	189	P49798	10	unknown	background
Q2M5U1	10443	Q2M5U1	1	unknown	background
Q2M7M3	10444	Q2M7M3	1	unknown	background
Q2M7R5	10445	Q2M7R5	1	unknown	background
Q2M7X4	10446	Q2M7X4	1	unknown	background
Q2MB16	10447	Q2MB16	1	unknown	background
Q2MJR0	1497	Q2MJR0	3	unknown	background
Q2MKA7	924	Q2I0M5	4	unknown	background
Q2MV58	10448	Q2MV58	1	unknown	background
Q2NKJ3	10449	Q2NKJ3	1	unknown	background
Q2NKQ1	2025	O43147	2	unknown	background
Q2NKX8	10450	Q2NKX8	1	unknown	background
Q2NKX9	10451	Q2NKX9	1	unknown	background
Q2NL67	2954	Q2NL67	2	unknown	background
Q2NL68	10452	Q2NL68	1	unknown	background
Q2NL82	10453	Q2NL82	1	unknown	background
Q2NL98	10454	Q2NL98	1	unknown	background
Q2PPJ7	2955	Q2PPJ7	2	unknown	background
Q2PZI1	2956	Q2PZI1	2	unknown	background
Q2Q1W2	10455	Q2Q1W2	1	unknown	background
Q2QD12	687	Q96AT9	5	unknown	background
Q2QGD7	1422	P98168	3	unknown	background
Q2QL34	2580	P39210	2	human	mito
Q2T9J0	10456	Q2T9J0	1	unknown	background
Q2T9K0	10457	Q2T9K0	1	unknown	background
Q2T9L4	10458	Q2T9L4	1	unknown	background
Q2TAA2	10459	Q2TAA2	1	unknown	background
Q2TAA5	10460	Q2TAA5	1	unknown	background
Q2TAA8	10461	Q2TAA8	1	unknown	background
Q2TAC2	10462	Q2TAC2	1	unknown	background
Q2TAC6	10463	Q2TAC6	1	unknown	background
Q2TAK8	2993	Q5H9M0	2	unknown	background
Q2TAL5	10464	Q2TAL5	1	unknown	background
Q2TAL6	1965	B2RUY7	2	unknown	background
Q2TAL8	10465	Q2TAL8	1	unknown	background
Q2TAM9	10466	Q2TAM9	1	unknown	background
Q2TAP0	3185	Q7Z5G4	2	unknown	background
Q2TAY7	10467	Q2TAY7	1	unknown	background
Q2TAZ0	2957	Q2TAZ0	2	unknown	background
Q2TB10	10468	Q2TB10	1	unknown	background
Q2TB18	10469	Q2TB18	1	unknown	background
Q2TB90	608	P19367	5	unknown	background
Q2TBA0	2053	O60662	2	unknown	background
Q2TBC4	1498	Q2TBC4	3	unknown	background
Q2TBE0	10470	Q2TBE0	1	unknown	background
Q2TBF2	2958	Q2TBF2	2	unknown	background
Q2TV78	836	P26927	4	unknown	background
Q2UY09	1274	P12110	3	unknown	background
Q2V2M9	3950	Q9Y613	2	unknown	background
Q2VIQ3	2959	Q2VIQ3	2	unknown	background
Q2VIR3	2960	Q2VIR3	2	unknown	background
Q2VPA4	1286	P15529	3	unknown	background
Q2VPB7	10471	Q2VPB7	1	unknown	background
Q2VPJ9	2961	Q2VPJ9	2	unknown	background
Q2VPK5	10472	Q2VPK5	1	unknown	background
Q2VWA4	2811	P84550	2	unknown	background
Q2VWP7	2962	Q2VWP7	2	unknown	background
Q2VY69	3	Q96IR2	176	unknown	background
Q2VYF4	2963	Q2VYF4	2	human	mito
Q2WEN9	272	Q3KPI0	8	unknown	background
Q2WGJ6	3492	Q96CT2	2	unknown	background
Q2WGJ8	10473	Q2WGJ8	1	unknown	background
Q2WGJ9	3734	Q9HC10	2	unknown	background
Q2WGN9	10474	Q2WGN9	1	unknown	background
Q2Y0W8	239	Q9Y6R1	9	unknown	background
Q2YD98	10475	Q2YD98	1	unknown	background
Q30154	257	P13762	8	unknown	background
Q30201	187	P25311	10	unknown	background
Q304Z4	10476	Q304Z4	1	unknown	background
Q309B1	2964	Q309B1	2	unknown	background
Q30KP8	10477	Q30KP8	1	unknown	background
Q30KP9	230	Q5J5C9	9	unknown	background
Q30KQ1	2965	Q30KQ1	2	unknown	background
Q30KQ4	674	Q8N104	5	unknown	background
Q30KQ5	230	Q5J5C9	9	unknown	background
Q30KQ6	266	P81534	8	unknown	background
Q30KQ7	10478	Q30KQ7	1	unknown	background
Q30KQ8	10479	Q30KQ8	1	unknown	background
Q30KQ9	674	Q8N104	5	unknown	background
Q30KR1	266	P81534	8	unknown	background
Q32M45	279	Q75V66	8	unknown	background
Q32M78	3	Q96IR2	176	unknown	background
Q32M84	10480	Q32M84	1	unknown	background
Q32M88	10481	Q32M88	1	unknown	background
Q32M92	10482	Q32M92	1	unknown	background
Q32MH5	10483	Q32MH5	1	unknown	background
Q32MK0	1743	Q9H1R3	3	unknown	background
Q32MQ0	10484	Q32MQ0	1	unknown	background
Q32MZ4	10485	Q32MZ4	1	unknown	background
Q32NB8	10486	Q32NB8	1	human	mito
Q32NC0	10487	Q32NC0	1	unknown	background
Q32P28	669	Q8IVL5	5	unknown	background
Q32P41	10488	Q32P41	1	human	matrix,mito
Q32P44	782	O95834	4	unknown	background
Q32P51	150	Q32P51	12	unknown	background
Q32ZL2	1499	Q32ZL2	3	unknown	background
Q330K2	10489	Q330K2	1	human	mito
Q33E94	622	P48378	5	unknown	background
Q38SD2	10490	Q38SD2	1	unknown	background
Q3B726	10491	Q3B726	1	unknown	background
Q3B7I2	10492	Q3B7I2	1	unknown	background
Q3B7J2	2966	Q3B7J2	2	unknown	background
Q3B7S5	10493	Q3B7S5	1	unknown	background
Q3B7T1	10494	Q3B7T1	1	unknown	background
Q3B7T3	10495	Q3B7T3	1	unknown	background
Q3B820	10496	Q3B820	1	unknown	background
Q3B8N2	482	P17931	6	unknown	background
Q3B8N5	2967	Q3B8N5	2	unknown	background
Q3BBV0	123	A0AAG2UXD8	13	unknown	background
Q3BBV2	123	A0AAG2UXD8	13	unknown	background
Q3C1V0	10497	Q3C1V0	1	unknown	background
Q3C1V1	10498	Q3C1V1	1	unknown	background
Q3C1V8	10499	Q3C1V8	1	unknown	background
Q3C1V9	10500	Q3C1V9	1	unknown	background
Q3I5F7	644	Q14032	5	unknown	background
Q3KNS1	10501	Q3KNS1	1	unknown	background
Q3KNS6	2	A6NM28	207	unknown	background
Q3KNT7	1523	Q63ZY6	3	unknown	background
Q3KNT9	10502	Q3KNT9	1	unknown	background
Q3KNV8	502	Q3KNV8	6	unknown	background
Q3KNW1	413	Q6DD87	7	unknown	background
Q3KNW5	499	Q12908	6	unknown	background
Q3KP22	10503	Q3KP22	1	unknown	background
Q3KP31	3	Q96IR2	176	unknown	background
Q3KP44	10504	Q3KP44	1	unknown	background
Q3KP66	10505	Q3KP66	1	unknown	background
Q3KPI0	272	Q3KPI0	8	unknown	background
Q3KQU3	10506	Q3KQU3	1	unknown	background
Q3KQV3	3	Q96IR2	176	unknown	background
Q3KQV9	2968	Q3KQV9	2	unknown	background
Q3KQZ1	2969	Q3KQZ1	2	human	mito
Q3KR16	2970	Q3KR16	2	unknown	background
Q3KR37	1585	Q8IYS0	3	unknown	background
Q3KRA6	10507	Q3KRA6	1	unknown	background
Q3KRA9	10508	Q3KRA9	1	unknown	background
Q3KRB8	2971	Q3KRB8	2	unknown	background
Q3L8U1	68	Q9P2D1	18	unknown	background
Q3LHN0	10509	Q3LHN0	1	unknown	background
Q3LHN1	10510	Q3LHN1	1	unknown	background
Q3LHN2	10511	Q3LHN2	1	unknown	background
Q3LI54	10512	Q3LI54	1	unknown	background
Q3LI58	1063	A0A3B3IRS2	3	unknown	background
Q3LI59	10513	Q3LI59	1	unknown	background
Q3LI60	10514	Q3LI60	1	unknown	background
Q3LI61	10515	Q3LI61	1	unknown	background
Q3LI62	10516	Q3LI62	1	unknown	background
Q3LI63	10517	Q3LI63	1	unknown	background
Q3LI64	10518	Q3LI64	1	unknown	background
Q3LI66	10519	Q3LI66	1	unknown	background
Q3LI67	10520	Q3LI67	1	unknown	background
Q3LI68	10521	Q3LI68	1	unknown	background
Q3LI70	10522	Q3LI70	1	unknown	background
Q3LI72	10523	Q3LI72	1	unknown	background
Q3LI73	10524	Q3LI73	1	unknown	background
Q3LI76	10525	Q3LI76	1	unknown	background
Q3LI77	10526	Q3LI77	1	unknown	background
Q3LI81	10527	Q3LI81	1	unknown	background
Q3LI83	10528	Q3LI83	1	unknown	background
Q3LIE5	10529	Q3LIE5	1	unknown	background
Q3LXA3	2756	P76015	2	unknown	background
Q3MHD2	10530	Q3MHD2	1	unknown	background
Q3MII6	10531	Q3MII6	1	unknown	background
Q3MIN7	926	Q3MIN7	4	unknown	background
Q3MIP1	10532	Q3MIP1	1	unknown	background
Q3MIR4	2972	Q3MIR4	2	unknown	background
Q3MIS6	3	Q96IR2	176	unknown	background
Q3MIT2	10533	Q3MIT2	1	unknown	background
Q3MIV0	10534	Q3MIV0	1	unknown	background
Q3MIW9	10535	Q3MIW9	1	unknown	background
Q3MIX3	3202	Q86TW2	2	human	mito
Q3MJ13	10536	Q3MJ13	1	unknown	background
Q3MJ16	807	P0C869	4	unknown	background
Q3MJ40	10537	Q3MJ40	1	unknown	background
Q3MJ62	48	Q9H4T2	21	unknown	background
Q3MUY2	10538	Q3MUY2	1	unknown	background
Q3SX64	993	Q96PU9	4	unknown	background
Q3SXM0	1608	Q8NA75	3	unknown	background
Q3SXM5	1338	P37058	3	human	mito
Q3SXP7	10539	Q3SXP7	1	unknown	background
Q3SXR2	10540	Q3SXR2	1	unknown	background
Q3SXY7	3829	Q9P2V4	2	unknown	background
Q3SXY8	10541	Q3SXY8	1	unknown	background
Q3SXZ3	2	A6NM28	207	unknown	background
Q3SXZ7	2128	O95922	2	unknown	background
Q3SY00	10542	Q3SY00	1	unknown	background
Q3SY05	10543	Q3SY05	1	unknown	background
Q3SY17	1744	Q9H1U9	3	human	mito
Q3SY46	10544	Q3SY46	1	unknown	background
Q3SY52	3	Q96IR2	176	unknown	background
Q3SY56	476	P0CG40	6	unknown	background
Q3SY69	60	P23883	19	human	matrix,mito
Q3SY77	42	Q6NUS8	22	unknown	background
Q3SY84	10545	Q3SY84	1	unknown	background
Q3SYA9	2973	Q3SYA9	2	unknown	background
Q3SYB3	23	A0A1W2PRP0	27	unknown	background
Q3SYC2	414	Q6E213	7	unknown	background
Q3SYF9	10546	Q3SYF9	1	unknown	background
Q3SYG4	10547	Q3SYG4	1	unknown	background
Q3T8J9	10548	Q3T8J9	1	unknown	background
Q3T906	10549	Q3T906	1	unknown	background
Q3V5L5	2848	Q09328	2	unknown	background
Q3V6T2	2974	Q3V6T2	2	unknown	background
Q3Y452	10550	Q3Y452	1	unknown	background
Q3YBM2	3519	Q96HP8	2	unknown	background
Q3YBR2	10551	Q3YBR2	1	unknown	background
Q3YEC7	10552	Q3YEC7	1	unknown	background
Q3ZAQ7	10553	Q3ZAQ7	1	unknown	background
Q3ZCM7	49	Q9NRH3	21	unknown	background
Q3ZCN5	10554	Q3ZCN5	1	unknown	background
Q3ZCQ2	10555	Q3ZCQ2	1	unknown	background
Q3ZCQ3	10556	Q3ZCQ3	1	unknown	background
Q3ZCQ8	10557	Q3ZCQ8	1	human	mito
Q3ZCT1	2	A6NM28	207	unknown	background
Q3ZCT8	10558	Q3ZCT8	1	unknown	background
Q3ZCU0	10559	Q3ZCU0	1	unknown	background
Q3ZCV2	10560	Q3ZCV2	1	unknown	background
Q3ZCW2	10561	Q3ZCW2	1	unknown	background
Q3ZCX4	2	A6NM28	207	unknown	background
Q3ZLR7	1615	Q8NEM7	3	unknown	background
Q3ZM63	10562	Q3ZM63	1	unknown	background
Q400G9	3214	Q86W34	2	unknown	background
Q401N2	10563	Q401N2	1	unknown	background
Q460N3	10564	Q460N3	1	unknown	background
Q460N5	10565	Q460N5	1	unknown	background
Q46755	10566	Q46755	1	unknown	background
Q46786	10567	Q46786	1	unknown	background
Q46787	10568	Q46787	1	unknown	background
Q46789	10569	Q46789	1	unknown	background
Q46790	10570	Q46790	1	unknown	background
Q46791	503	Q46791	6	unknown	background
Q46793	10571	Q46793	1	unknown	background
Q46795	10572	Q46795	1	unknown	background
Q46796	10573	Q46796	1	unknown	background
Q46797	10574	Q46797	1	unknown	background
Q46798	2975	Q46798	2	unknown	background
Q46799	10575	Q46799	1	unknown	background
Q46800	10576	Q46800	1	unknown	background
Q46801	2976	Q46801	2	unknown	background
Q46802	218	P14375	9	unknown	background
Q46803	10577	Q46803	1	unknown	background
Q46806	408	Q46806	7	unknown	background
Q46807	1340	P37306	3	unknown	background
Q46808	10578	Q46808	1	unknown	background
Q46809	10579	Q46809	1	unknown	background
Q46810	10580	Q46810	1	unknown	background
Q46811	10581	Q46811	1	unknown	background
Q46812	10582	Q46812	1	unknown	background
Q46814	10583	Q46814	1	unknown	background
Q46817	845	P31440	4	unknown	background
Q46819	225	P56256	9	unknown	background
Q46820	880	P76440	4	unknown	background
Q46821	10584	Q46821	1	unknown	background
Q46822	10585	Q46822	1	unknown	background
Q46824	10586	Q46824	1	unknown	background
Q46829	1273	P11988	3	unknown	background
Q46831	10587	Q46831	1	unknown	background
Q46832	10588	Q46832	1	unknown	background
Q46833	10589	Q46833	1	unknown	background
Q46834	10590	Q46834	1	unknown	background
Q46835	10591	Q46835	1	unknown	background
Q46836	10592	Q46836	1	unknown	background
Q46839	2545	P33231	2	unknown	background
Q46840	10593	Q46840	1	unknown	background
Q46841	10594	Q46841	1	unknown	background
Q46843	1500	Q46844	3	unknown	background
Q46844	1500	Q46844	3	unknown	background
Q46845	2789	P77526	2	unknown	background
Q46851	492	P77735	6	ecoli	groel
Q46855	10595	Q46855	1	unknown	background
Q46856	10596	Q46856	1	unknown	background
Q46857	131	Q46857	13	unknown	background
Q46858	10597	Q46858	1	unknown	background
Q46861	10598	Q46861	1	unknown	background
Q46863	1501	Q46863	3	unknown	background
Q46864	10599	Q46864	1	unknown	background
Q46865	10600	Q46865	1	unknown	background
Q46866	10601	Q46866	1	unknown	background
Q46867	10602	Q46867	1	unknown	background
Q46868	10603	Q46868	1	unknown	background
Q46871	10604	Q46871	1	unknown	background
Q46877	10605	Q46877	1	unknown	background
Q46888	594	P0ABQ2	5	unknown	background
Q46889	10606	Q46889	1	unknown	background
Q46890	10607	Q46890	1	unknown	background
Q46891	1502	Q46891	3	unknown	background
Q46892	382	P0AC96	7	unknown	background
Q46893	10608	Q46893	1	unknown	background
Q46896	10609	Q46896	1	unknown	background
Q46897	10610	Q46897	1	unknown	background
Q46898	10611	Q46898	1	unknown	background
Q46899	10612	Q46899	1	unknown	background
Q46901	10613	Q46901	1	unknown	background
Q46904	1414	P77337	3	unknown	background
Q46905	1404	P68646	3	unknown	background
Q46906	10614	Q46906	1	unknown	background
Q46907	10615	Q46907	1	unknown	background
Q46908	10616	Q46908	1	unknown	background
Q46909	2529	P31679	2	unknown	background
Q46911	10617	Q46911	1	unknown	background
Q46915	2977	Q46915	2	unknown	background
Q46916	1236	P0AA76	3	unknown	background
Q46919	10618	Q46919	1	unknown	background
Q46920	10619	Q46920	1	unknown	background
Q46925	2978	Q46925	2	unknown	background
Q46927	10620	Q46927	1	unknown	background
Q46938	10621	Q46938	1	unknown	background
Q46939	186	P21151	10	unknown	background
Q46941	10622	Q46941	1	unknown	background
Q46942	10623	Q46942	1	unknown	background
Q46943	10624	Q46943	1	unknown	background
Q46948	3574	Q99497	2	unknown	background
Q46953	1503	Q46953	3	unknown	background
Q47005	10625	Q47005	1	unknown	background
Q47013	10626	Q47013	1	unknown	background
Q47083	2979	Q47083	2	unknown	background
Q47129	10627	Q47129	1	unknown	background
Q47138	10628	Q47138	1	unknown	background
Q47140	10629	Q47140	1	unknown	background
Q47141	10630	Q47141	1	unknown	background
Q47142	10631	Q47142	1	unknown	background
Q47146	10632	Q47146	1	unknown	background
Q47147	10633	Q47147	1	unknown	background
Q47149	10634	Q47149	1	unknown	background
Q47150	10635	Q47150	1	unknown	background
Q47151	2980	Q47151	2	unknown	background
Q47152	10636	Q47152	1	unknown	background
Q47153	2981	Q47153	2	unknown	background
Q47154	2982	Q47154	2	unknown	background
Q47155	10637	Q47155	1	unknown	background
Q47156	10638	Q47156	1	unknown	background
Q47157	10639	Q47157	1	unknown	background
Q47158	10640	Q47158	1	unknown	background
Q47208	2776	P77187	2	unknown	background
Q47268	10641	Q47268	1	unknown	background
Q47269	10642	Q47269	1	unknown	background
Q47270	10643	Q47270	1	unknown	background
Q47272	10644	Q47272	1	unknown	background
Q47274	10645	Q47274	1	unknown	background
Q47319	10646	Q47319	1	unknown	background
Q47377	10647	Q47377	1	unknown	background
Q47534	10648	Q47534	1	unknown	background
Q47536	10649	Q47536	1	unknown	background
Q47537	10650	Q47537	1	unknown	background
Q47538	17	P33594	39	unknown	background
Q47539	2750	P75851	2	unknown	background
Q47622	2470	P23847	2	unknown	background
Q47679	10651	Q47679	1	unknown	background
Q47684	927	Q47684	4	unknown	background
Q47685	879	P76362	4	unknown	background
Q47688	10652	Q47688	1	unknown	background
Q47689	213	P0AAE2	9	unknown	background
Q47690	10653	Q47690	1	unknown	background
Q47702	10654	Q47702	1	unknown	background
Q47706	10655	Q47706	1	unknown	background
Q47710	10656	Q47710	1	unknown	background
Q47718	2744	P75680	2	unknown	background
Q47719	10657	Q47719	1	unknown	background
Q494R0	10658	Q494R0	1	unknown	background
Q494R4	10659	Q494R4	1	unknown	background
Q494U1	10660	Q494U1	1	unknown	background
Q494V2	10661	Q494V2	1	unknown	background
Q494W8	75	P30926	17	unknown	background
Q494X3	2	A6NM28	207	unknown	background
Q495A1	10662	Q495A1	1	unknown	background
Q495B1	1106	E5RJM6	3	unknown	background
Q495C1	10663	Q495C1	1	unknown	background
Q495D7	10664	Q495D7	1	unknown	background
Q495M3	928	Q495N2	4	unknown	background
Q495M9	3319	Q8N8V4	2	unknown	background
Q495N2	928	Q495N2	4	unknown	background
Q495T6	403	P78562	7	unknown	background
Q495W5	3098	Q6P4F1	2	unknown	background
Q495X7	47	Q8NG06	21	unknown	background
Q495Y7	44	A6NNV3	21	unknown	background
Q495Y8	44	A6NNV3	21	unknown	background
Q495Z4	10665	Q495Z4	1	unknown	background
Q496A3	10666	Q496A3	1	unknown	background
Q496F6	297	A8K4G0	7	unknown	background
Q496H8	10667	Q496H8	1	unknown	background
Q496J9	1551	Q7L1I2	3	unknown	background
Q496M5	10668	Q496M5	1	unknown	background
Q496Y0	1495	Q1L5Z9	3	unknown	background
Q499Y3	10669	Q499Y3	1	unknown	background
Q499Z3	10670	Q499Z3	1	unknown	background
Q499Z4	2	A6NM28	207	unknown	background
Q49A17	103	Q8IXK2	15	unknown	background
Q49A26	10671	Q49A26	1	unknown	background
Q49A33	2	A6NM28	207	unknown	background
Q49A88	10672	Q49A88	1	unknown	background
Q49A92	10673	Q49A92	1	unknown	background
Q49AA0	3	Q96IR2	176	unknown	background
Q49AG3	3110	Q6R2W3	2	unknown	background
Q49AH0	2674	P55145	2	unknown	background
Q49AJ0	3819	Q9P2D6	2	unknown	background
Q49AM1	10674	Q49AM1	1	human	matrix,mito
Q49AM3	10675	Q49AM3	1	unknown	background
Q49AN0	2930	Q16526	2	unknown	background
Q49AR2	10676	Q49AR2	1	unknown	background
Q49AS3	10677	Q49AS3	1	unknown	background
Q49B96	10678	Q49B96	1	human	mito
Q49MG5	10679	Q49MG5	1	unknown	background
Q49MI3	10680	Q49MI3	1	unknown	background
Q49SQ1	390	P21462	7	unknown	background
Q4AC94	10681	Q4AC94	1	unknown	background
Q4AC99	3560	Q96QU6	2	unknown	background
Q4ADV7	10682	Q4ADV7	1	unknown	background
Q4AE62	10683	Q4AE62	1	unknown	background
Q4FZB7	3230	Q86Y97	2	unknown	background
Q4G0A6	1919	A8MYZ0	2	unknown	background
Q4G0F5	2079	O75436	2	unknown	background
Q4G0G2	10684	Q4G0G2	1	unknown	background
Q4G0G5	10685	Q4G0G5	1	unknown	background
Q4G0I0	10686	Q4G0I0	1	human	mito
Q4G0J3	10687	Q4G0J3	1	unknown	background
Q4G0M1	3030	Q5T7M4	2	unknown	background
Q4G0N0	10688	Q4G0N0	1	unknown	background
Q4G0N4	10689	Q4G0N4	1	human	hsp60,matrix,mito
Q4G0N7	10690	Q4G0N7	1	unknown	background
Q4G0N8	10691	Q4G0N8	1	unknown	background
Q4G0P3	325	AF-Q4G0P3-F7-model_v6	7	unknown	background
Q4G0S4	762	O15528	4	unknown	background
Q4G0S7	10692	Q4G0S7	1	unknown	background
Q4G0T1	1023	Q9NR16	4	unknown	background
Q4G0U5	10693	Q4G0U5	1	unknown	background
Q4G0W2	64	Q8WUJ0	18	unknown	background
Q4G0X4	3067	Q693B1	2	unknown	background
Q4G0X9	10694	Q4G0X9	1	unknown	background
Q4G0Z9	10695	Q4G0Z9	1	unknown	background
Q4G112	10696	Q4G112	1	unknown	background
Q4G148	2983	Q4G148	2	unknown	background
Q4G163	10697	Q4G163	1	unknown	background
Q4G176	10698	Q4G176	1	human	hsp60,matrix,mito
Q4G1C9	1542	Q6UWM5	3	unknown	background
Q4J6C6	10699	Q4J6C6	1	human	matrix,mito
Q4JDL3	170	Q06124	11	unknown	background
Q4KMG0	3615	Q9BWV1	2	unknown	background
Q4KMG9	10700	Q4KMG9	1	unknown	background
Q4KMP7	1504	Q4KMP7	3	unknown	background
Q4KMQ1	10701	Q4KMQ1	1	unknown	background
Q4KMQ2	279	Q75V66	8	unknown	background
Q4KMX7	10702	Q4KMX7	1	unknown	background
Q4KMZ1	10703	Q4KMZ1	1	unknown	background
Q4KMZ8	929	Q4KMZ8	4	unknown	background
Q4KWH8	269	Q15111	8	unknown	background
Q4L180	10704	Q4L180	1	unknown	background
Q4L235	10705	Q4L235	1	unknown	background
Q4LDE5	326	AF-Q4LDE5-F7-model_v6	7	unknown	background
Q4LDG9	10706	Q4LDG9	1	unknown	background
Q4LDR2	10707	Q4LDR2	1	unknown	background
Q4LE39	2512	P29374	2	unknown	background
Q4LEZ3	10708	Q4LEZ3	1	unknown	background
Q4QY38	10709	Q4QY38	1	unknown	background
Q4U2R6	10710	Q4U2R6	1	human	matrix,mito
Q4U2R8	108	Q9Y226	15	unknown	background
Q4UJ75	410	Q5SQ80	7	unknown	background
Q4V321	10711	Q4V321	1	unknown	background
Q4V326	10712	Q4V326	1	unknown	background
Q4V328	10713	Q4V328	1	unknown	background
Q4V339	652	Q5JTY5	5	unknown	background
Q4V348	3	Q96IR2	176	unknown	background
Q4V9L6	10714	Q4V9L6	1	unknown	background
Q4VC05	1639	Q8WUZ0	3	unknown	background
Q4VC12	10715	Q4VC12	1	unknown	background
Q4VC31	10716	Q4VC31	1	human	mito
Q4VC39	10717	Q4VC39	1	unknown	background
Q4VC44	10718	Q4VC44	1	unknown	background
Q4VCS5	10719	Q4VCS5	1	unknown	background
Q4VNC0	1017	Q9H7F0	4	unknown	background
Q4VNC1	1017	Q9H7F0	4	unknown	background
Q4VX62	10720	Q4VX62	1	unknown	background
Q4VX76	688	Q96C24	5	unknown	background
