uniprot_accession	domain_index	domain_start	domain_end	domain_length	cath_superfamily	domain_frac_helix	domain_frac_strand	domain_frac_coil	domain_mean_plddt	domain_min_plddt	domain_frac_plddt_gt70	domain_frac_plddt_gt90
P0ACB4	1	2	174	173	3.40.50.360	0.4624	0.2486	0.289	96.73	83.0	1.0	0.9884
P0ACI0	1	3	55	53	1.10.10.60	0.7547	0.0	0.2453	87.96	73.81	1.0	0.5094
P0ACI0	2	56	121	66	1.10.10.60	0.5758	0.0303	0.3939	95.61	81.19	1.0	0.9545
P0ACI0	3	122	289	168	3.20.80.10	0.2262	0.4464	0.3274	89.93	60.53	0.9345	0.6667
P0ACJ8	1	139	207	69	1.10.10.10	0.4928	0.2464	0.2609	96.25	86.5	1.0	0.9565
P0ACJ8	2	1	132	132	2.60.120.10	0.3106	0.3409	0.3485	93.17	35.22	0.947	0.9091
P0ACK8	1	1	59	59	1.10.10.10	0.5763	0.1695	0.2542	88.07	57.91	0.9831	0.4915
P0ACK8	2	75	233	159	3.40.50.1360	0.3396	0.2956	0.3648	95.9	79.5	1.0	0.9057
P0ACL5	1	1	78	78	1.10.10.10	0.4487	0.0897	0.4615	85.11	37.22	0.8205	0.6154
P0ACL5	2	95	235	141	1.20.120.530	0.8652	0.0	0.1348	93.78	56.53	0.9787	0.8369
P0ACQ4	1	1	84	84	1.10.10.10	0.7143	0.0238	0.2619	93.59	72.88	1.0	0.8452
P0ACQ4	2	91	284	194	3.40.190.10	0.3299	0.366	0.3041	92.27	70.12	1.0	0.8041
P0ACQ4	3	164	267	104	3.40.190.10	0.2692	0.375	0.3558	89.08	70.12	1.0	0.6538
P0AD61	1	71	167	97	2.40.33.10	0.0722	0.433	0.4948	96.35	88.19	1.0	0.9588
P0AD61	2	4	332	329	3.20.20.60	0.3891	0.2462	0.3647	97.02	87.56	1.0	0.9818
P0AD61	3	336	466	131	3.40.1380.20	0.3435	0.1908	0.4656	92.35	56.19	0.9466	0.8015
P0ADG4	1	1	140	140	3.30.540.10	0.3214	0.4143	0.2643	95.55	59.25	0.9929	0.9071
P0ADG4	2	141	267	127	3.40.190.80	0.4331	0.1496	0.4173	95.77	75.12	1.0	0.9055
P0AE08	1	1	185	185	3.40.30.10	0.3189	0.2703	0.4108	97.73	71.56	1.0	0.973
P0AE88	1	131	232	102	1.10.10.10	0.3235	0.2255	0.451	93.99	66.81	0.9804	0.8529
P0AE88	2	2	83	82	3.40.50.2300	0.3537	0.2561	0.3902	96.08	77.75	1.0	0.9512
P0AE88	3	84	117	34	6.10.250.690	0.6471	0.1471	0.2059	92.59	72.0	1.0	0.9118
P0AED5	1	2	210	209	3.40.50.2300	0.5598	0.1435	0.2967	93.34	61.19	0.9856	0.8325
P0AEJ2	1	1	391	391	3.60.120.10	0.312	0.3043	0.3836	94.79	32.75	0.9616	0.9309
P0AEJ6	1	55	141	87	1.10.220.70	0.6667	0.023	0.3103	98.55	96.06	1.0	1.0
P0AEJ6	2	1	54	54	2.30.170.30	0.463	0.1481	0.3889	96.79	83.81	1.0	0.9444
P0AEJ6	3	142	453	312	3.20.20.70	0.4423	0.1731	0.3846	97.28	87.44	1.0	0.9808
P0AEK2	1	1	244	244	3.40.50.720	0.5164	0.1598	0.3238	97.33	76.19	1.0	0.9508
P0AES4	1	370	492	123	1.10.268.10	0.6992	0.0732	0.2276	88.55	60.03	0.9593	0.5854
P0AES4	2	531	840	310	2.120.10.90	0.0839	0.4065	0.5097	84.04	28.8	0.8903	0.4484
P0AES4	3	236	333	98	3.30.1360.40	0.2449	0.3878	0.3673	92.8	80.75	1.0	0.7653
P0AES4	4	32	521	490	3.90.199.10	0.4755	0.1735	0.351	93.61	60.03	0.9898	0.8367
P0AEU7	1	19	161	143	3.30.910.20	0.7692	0.0699	0.1608	95.98	58.69	0.979	0.965
P0AEZ1	1	1	295	295	3.20.20.220	0.4847	0.1458	0.3695	95.61	55.12	0.9898	0.9051
P0AEZ9	1	1	170	170	3.40.980.10	0.4471	0.1941	0.3588	97.56	49.94	0.9882	0.9824
P0AF48	1	1	138	138	2.60.120.460	0.2391	0.3768	0.3841	97.54	89.19	1.0	0.9928
P0AFD1	1	13	82	70	1.10.10.1590	0.6857	0.0	0.3143	96.14	91.5	1.0	1.0
P0AFD1	2	83	165	83	3.40.30.10	0.3133	0.2289	0.4578	96.79	92.12	1.0	1.0
P0AFG0	1	123	181	59	2.30.30.30	0.0	0.5254	0.4746	75.07	45.31	0.7627	0.0
P0AFG0	2	1	117	117	3.30.70.940	0.2991	0.3248	0.3761	74.36	38.75	0.6581	0.0256
P0AFG3	1	84	166	83	1.10.287.1150	0.5663	0.0723	0.3614	91.87	60.75	0.9759	0.8313
P0AFG3	2	721	929	209	3.40.50.11610	0.378	0.1962	0.4258	97.57	90.75	1.0	1.0
P0AFG3	3	553	800	248	3.40.50.12470	0.4113	0.1371	0.4516	97.94	92.12	1.0	1.0
P0AFG3	4	167	531	365	3.40.50.970	0.4658	0.1452	0.389	95.13	58.75	0.9726	0.9151
P0AFG6	1	2	81	80	2.40.50.100	0.0	0.4875	0.5125	87.73	52.31	0.975	0.35
P0AFG6	2	159	402	244	3.30.559.10	0.3975	0.2377	0.3648	91.97	47.06	0.9385	0.8074
P0AFG6	3	103	153	51	4.10.320.10	0.4314	0.0	0.5686	72.03	32.0	0.7647	0.0
P0AFG8	1	707	887	181	3.40.50.920	0.4641	0.1657	0.3702	98.48	95.25	1.0	1.0
P0AFG8	2	57	471	415	3.40.50.970	0.4747	0.0795	0.4458	97.04	78.38	1.0	0.9494
P0AFG8	3	472	706	235	3.40.50.970	0.3447	0.1489	0.5064	96.79	77.38	1.0	0.9149
P0AFI2	1	366	451	86	1.10.268.10	0.8721	0.0	0.1279	94.81	83.94	1.0	0.9302
P0AFI2	2	491	738	248	2.120.10.90	0.1008	0.3911	0.5081	91.45	64.81	0.9758	0.7661
P0AFI2	3	235	328	94	3.30.1360.40	0.2553	0.383	0.3617	94.58	84.69	1.0	0.8617
P0AFI2	4	29	478	450	3.90.199.10	0.4822	0.1578	0.36	96.16	83.94	1.0	0.9489
P0AFK0	1	1	236	236	3.30.2290.10	0.3432	0.3983	0.2585	95.66	46.59	0.9788	0.9322
P0AFQ7	1	2	265	264	3.20.20.140	0.4773	0.1705	0.3523	97.88	58.81	0.9962	0.9848
P0AFR4	1	1	206	206	3.90.870.10	0.3058	0.2379	0.4563	95.94	82.81	1.0	0.9417
P0AFX4	1	1	151	151	1.20.120.1370	0.8675	0.0	0.1325	92.2	72.75	1.0	0.7483
P0AFY8	1	1	41	41	1.10.1220.10	0.4146	0.0	0.5854	87.71	44.31	0.8537	0.7073
P0AFY8	2	65	181	117	1.20.1380.10	0.5983	0.0855	0.3162	97.11	88.12	1.0	0.9829
P0AG24	1	2	190	189	1.10.3210.10	0.7619	0.0106	0.2275	86.98	36.06	0.8942	0.5608
P0AG24	2	381	455	75	3.10.20.30	0.24	0.3333	0.4267	87.36	55.06	0.92	0.5467
P0AG24	3	192	325	134	3.30.460.10	0.5	0.2687	0.2313	87.91	59.19	0.9254	0.5448
P0AG24	4	623	702	80	3.30.70.260	0.275	0.4375	0.2875	89.34	67.44	0.9875	0.5875
P0AG30	1	1	47	47	1.10.720.10	0.7021	0.0213	0.2766	90.77	85.88	1.0	0.6383
P0AG30	2	48	122	75	2.40.50.140	0.0933	0.44	0.4667	93.53	84.75	1.0	0.8533
P0AG30	3	130	419	290	3.40.50.300	0.4655	0.2103	0.3241	94.33	67.88	0.9966	0.8862
P0AGG4	1	1	34	34	2.30.30.380	0.0882	0.2353	0.6765	90.93	73.81	1.0	0.7647
P0AGG4	2	35	139	105	3.40.30.10	0.3524	0.2571	0.3905	97.19	91.75	1.0	1.0
P0AGG8	1	13	239	227	3.30.2290.10	0.3172	0.4405	0.2423	98.29	92.62	1.0	1.0
P0AGJ2	1	1	204	204	3.40.1280.10	0.4412	0.1765	0.3824	93.33	59.09	0.9853	0.8333
P0AGJ5	1	98	178	81	3.30.1330.30	0.5679	0.2716	0.1605	94.33	71.69	1.0	0.8889
P0AGJ5	2	179	345	167	3.40.1280.10	0.4132	0.2335	0.3533	94.63	82.19	1.0	0.8802
P0AGK8	1	1	144	144	1.10.10.10	0.5556	0.1042	0.3403	94.72	73.94	1.0	0.8611
P0C0K3	1	60	258	199	1.10.510.10	0.4724	0.1407	0.3869	96.72	87.25	1.0	0.9749
P0C0K3	2	149	313	165	1.20.1270.170	0.6485	0.0727	0.2788	96.8	89.69	1.0	0.9879
P0C0K3	3	13	108	96	3.30.200.70	0.2708	0.3438	0.3854	95.17	87.62	1.0	0.9479
P0C7M7	1	473	577	105	3.30.300.30	0.381	0.3143	0.3048	87.78	57.59	0.9429	0.5524
P0C7M7	2	44	472	429	3.40.50.12780	0.31	0.2681	0.4219	94.33	48.22	0.986	0.8834
P0C7P0	1	40	79	40	3.40.5.90	0.1	0.275	0.625	97.97	92.56	1.0	1.0
P0C7P0	2	80	124	45	3.40.5.90	0.1778	0.2222	0.6	98.13	94.06	1.0	1.0
P0C8J6	1	1	284	284	3.20.20.70	0.5106	0.1831	0.3063	95.65	55.97	0.9965	0.8838
P0C8J8	1	282	418	137	1.10.400.20	0.7445	0.0	0.2555	97.89	90.75	1.0	1.0
P0C8J8	2	14	281	268	3.20.20.70	0.4179	0.1828	0.3993	95.29	43.62	0.9552	0.9254
P0DPI2	1	41	268	228	3.40.50.880	0.3816	0.1886	0.4298	97.94	81.06	1.0	0.9912
P0DTT0	1	199	299	101	2.40.30.10	0.0	0.505	0.495	89.48	69.75	0.9901	0.604
P0DTT0	2	483	599	117	2.40.50.250	0.1795	0.2564	0.5641	88.11	40.69	0.8974	0.735
P0DTT0	3	389	482	94	3.30.70.240	0.266	0.4681	0.266	85.9	65.5	0.9894	0.3404
P0DTT0	4	306	590	285	3.30.70.870	0.2386	0.3439	0.4175	87.98	40.69	0.9544	0.593
P0DTT0	5	1	198	198	3.40.50.300	0.3687	0.2222	0.4091	81.9	37.06	0.798	0.3485
P10109	1	60	184	125	3.10.20.30	0.296	0.216	0.488	91.65	47.72	0.896	0.84
P10176	1	26	68	43	4.10.81.10	0.6744	0.0	0.3256	94.41	72.94	1.0	0.907
P10415	1	6	207	202	1.10.437.10	0.5248	0.0	0.4752	76.31	11.06	0.6881	0.4505
P10515	1	87	192	106	2.40.50.100	0.066	0.3679	0.566	74.66	29.17	0.7642	0.0
P10515	2	212	317	106	2.40.50.100	0.066	0.3679	0.566	71.75	31.11	0.7358	0.0
P10515	3	408	644	237	3.30.559.10	0.3671	0.2532	0.3797	89.28	40.69	0.9494	0.7046
P10515	4	345	394	50	4.10.320.10	0.36	0.04	0.6	71.82	34.75	0.72	0.0
P10606	1	32	129	98	2.60.11.10	0.1531	0.2551	0.5918	93.55	53.91	0.9592	0.8673
P10620	1	2	155	154	1.20.120.550	0.7792	0.0	0.2208	78.94	45.19	0.7662	0.0714
P10809	1	30	547	518	1.10.560.10	0.5309	0.1699	0.2992	92.07	66.75	0.9884	0.7664
P10809	2	161	435	275	3.30.260.10	0.4473	0.2182	0.3345	89.7	66.75	0.9782	0.6218
P10809	3	216	398	183	3.50.7.10	0.4044	0.235	0.3607	90.21	66.75	0.9781	0.6503
P11177	1	225	358	134	3.40.50.920	0.4104	0.1791	0.4104	98.75	97.94	1.0	1.0
P11177	2	32	224	193	3.40.50.970	0.4041	0.1658	0.4301	98.58	95.75	1.0	1.0
P11182	1	61	152	92	2.40.50.100	0.0	0.4565	0.5435	82.71	32.97	0.8478	0.5543
P11182	2	249	481	233	3.30.559.10	0.3863	0.2489	0.3648	94.31	79.94	1.0	0.8755
P11182	3	164	214	51	4.10.320.10	0.4706	0.0392	0.4902	79.51	32.88	0.8235	0.1569
P11310	1	26	155	130	1.10.540.10	0.6692	0.0077	0.3231	94.36	36.59	0.9308	0.9154
P11310	2	272	417	146	1.20.140.10	0.8425	0.0274	0.1301	98.5	92.69	1.0	1.0
P11310	3	156	271	116	2.40.110.10	0.1121	0.5	0.3879	98.14	92.0	1.0	1.0
P11498	1	1102	1178	77	2.40.50.100	0.0	0.5065	0.4935	85.1	45.66	0.9351	0.3766
P11498	2	1038	1097	60	3.10.600.10	0.1167	0.55	0.3333	89.1	61.34	0.9667	0.5667
P11498	3	516	1037	522	3.20.20.70	0.523	0.0881	0.3889	93.75	65.25	0.9981	0.8314
P11498	4	27	490	464	3.30.470.20	0.3621	0.2522	0.3858	91.38	30.88	0.9677	0.6961
P12074	1	25	109	85	4.10.95.10	0.4118	0.0235	0.5647	89.24	51.25	0.8706	0.7412
P12235	1	3	298	296	1.50.40.10	0.7939	0.0	0.2061	92.24	69.88	0.9966	0.7162
P12236	1	3	297	295	1.50.40.10	0.7797	0.0	0.2203	92.57	73.75	1.0	0.7153
P12694	1	46	445	400	3.40.50.970	0.475	0.1	0.425	97.47	66.62	0.995	0.975
P12998	1	57	284	228	3.40.640.10	0.4518	0.1667	0.3816	98.51	92.69	1.0	1.0
P12998	2	39	378	340	3.90.1150.10	0.4324	0.1824	0.3853	97.65	80.81	1.0	0.9676
P13033	1	1	122	122	3.50.50.60	0.3607	0.1967	0.4426	96.52	88.25	1.0	0.9836
P13051	1	80	312	233	3.40.470.10	0.4206	0.1073	0.4721	96.16	76.81	1.0	0.927
P13073	1	23	169	147	1.10.442.10	0.5102	0.0408	0.449	94.82	32.41	0.9728	0.9524
P13196	1	260	492	233	3.40.640.10	0.4807	0.1717	0.3476	98.04	88.38	1.0	0.9914
P13196	2	493	597	105	3.90.1150.10	0.5333	0.1238	0.3429	95.9	78.12	1.0	0.9524
P13804	1	205	333	129	3.40.50.1220	0.3488	0.2016	0.4496	96.65	76.62	1.0	0.9457
P13804	2	19	204	186	3.40.50.620	0.3065	0.3118	0.3817	97.02	75.62	1.0	0.9731
P13857	1	1	179	179	3.40.630.30	0.3687	0.3631	0.2682	96.93	58.06	0.9888	0.9777
P13995	1	42	325	284	3.40.50.10860	0.4049	0.1725	0.4225	97.56	82.75	1.0	0.9718
P13995	2	40	308	269	3.40.50.720	0.3755	0.1822	0.4424	97.54	82.75	1.0	0.9703
P14324	1	66	416	351	1.10.600.10	0.755	0.0114	0.2336	95.22	27.5	0.9687	0.9202
P14406	1	24	82	59	4.10.91.10	0.6949	0.0	0.3051	95.53	72.0	1.0	0.9153
P14735	1	33	285	253	3.30.830.10	0.415	0.1897	0.3953	95.28	26.06	0.9605	0.9486
P14735	2	286	515	230	3.30.830.10	0.4217	0.2043	0.3739	98.15	93.31	1.0	1.0
P14735	3	543	768	226	3.30.830.10	0.531	0.2301	0.2389	98.08	93.94	1.0	1.0
P14735	4	769	1019	251	3.30.830.10	0.4143	0.1912	0.3944	92.96	29.31	0.9323	0.8924
P14854	1	5	86	82	1.10.10.140	0.6707	0.0	0.3293	95.72	84.38	1.0	0.9268
P14927	1	2	111	110	1.10.1090.10	0.7182	0.0	0.2818	93.47	57.47	0.9455	0.8636
P15254	1	153	213	61	1.10.8.750	0.6393	0.0328	0.3279	94.48	87.19	1.0	0.8033
P15254	2	214	420	207	3.30.1330.10	0.2947	0.3865	0.3188	97.45	78.62	1.0	0.9565
P15254	3	614	807	194	3.30.1330.10	0.299	0.3196	0.3814	98.12	89.88	1.0	0.9948
P15254	4	981	1295	315	3.40.50.880	0.3651	0.2095	0.4254	98.41	93.62	1.0	1.0
P15254	5	421	606	186	3.90.650.10	0.3656	0.2527	0.3817	93.54	45.72	0.9516	0.8495
P15254	6	808	980	173	3.90.650.10	0.3642	0.289	0.3468	98.45	90.0	1.0	0.9942
P15538	1	26	503	478	1.10.630.10	0.5669	0.1046	0.3285	93.82	39.34	0.9707	0.8431
P15954	1	17	63	47	4.10.49.10	0.5957	0.0	0.4043	92.81	66.25	0.9787	0.7234
P16219	1	29	150	122	1.10.540.10	0.6721	0.0082	0.3197	96.82	65.75	0.9672	0.9508
P16219	2	263	411	149	1.20.140.10	0.8188	0.0268	0.1544	98.47	96.06	1.0	1.0
P16219	3	151	262	112	2.40.110.10	0.1161	0.4732	0.4107	97.98	94.12	1.0	1.0
P16260	1	30	331	302	1.50.40.10	0.7848	0.0199	0.1954	89.23	50.38	0.9735	0.5563
P17315	1	25	157	133	2.170.130.10	0.1429	0.3534	0.5038	87.54	25.3	0.9474	0.5564
P17315	2	163	663	501	2.40.170.20	0.0519	0.6407	0.3074	93.89	66.12	0.992	0.8363
P17540	1	23	133	111	1.10.135.10	0.3604	0.0631	0.5766	86.54	28.53	0.8378	0.7117
P17540	2	140	418	279	3.30.590.10	0.3226	0.2222	0.4552	94.86	60.88	0.9785	0.8638
P17612	1	128	318	191	1.10.510.10	0.4503	0.0681	0.4817	97.75	93.38	1.0	1.0
P17612	2	41	330	290	3.30.200.20	0.3655	0.1828	0.4517	97.35	80.88	1.0	0.9862
P18859	1	39	101	63	1.10.246.110	0.5714	0.0	0.4286	91.65	74.31	1.0	0.6825
P19099	1	29	503	475	1.10.630.10	0.5705	0.1011	0.3284	93.04	37.81	0.9747	0.7811
P19404	1	53	126	74	1.10.10.1590	0.6486	0.0	0.3514	95.81	90.19	1.0	1.0
P19404	2	127	224	98	3.40.30.10	0.3265	0.2245	0.449	95.29	90.31	1.0	1.0
P20674	1	42	150	109	1.25.40.40	0.6147	0.0	0.3853	97.09	68.62	0.9817	0.9541
P21151	1	5	267	263	3.40.47.10	0.3878	0.1977	0.4144	97.7	84.25	1.0	0.9734
P21151	2	126	382	257	3.40.47.10	0.4514	0.2023	0.3463	97.55	84.25	1.0	0.9728
P21165	1	1	159	159	3.40.350.10	0.3333	0.1635	0.5031	95.82	57.78	0.9937	0.9119
P21165	2	161	443	283	3.90.230.10	0.3852	0.1625	0.4523	98.01	84.31	1.0	0.9965
P21397	1	116	208	93	1.10.405.10	0.7097	0.0215	0.2688	98.57	96.62	1.0	1.0
P21397	2	15	457	443	3.50.50.60	0.3837	0.2302	0.386	98.51	91.19	1.0	1.0
P21397	3	51	408	358	3.90.660.10	0.3743	0.2402	0.3855	98.44	91.19	1.0	1.0
P21397	4	473	526	54	6.10.250.130	0.5185	0.0	0.4815	95.94	70.75	1.0	0.9444
P21499	1	67	147	81	2.40.50.140	0.0988	0.4691	0.4321	86.02	63.06	0.9259	0.5062
P21499	2	148	215	68	2.40.50.140	0.0441	0.5147	0.4412	94.76	82.62	1.0	0.9412
P21499	3	645	754	110	2.40.50.140	0.1	0.4636	0.4364	80.95	34.03	0.7727	0.5
P21549	1	34	282	249	3.40.640.10	0.3976	0.1647	0.4378	98.73	93.81	1.0	1.0
P21549	2	20	381	362	3.90.1150.10	0.4227	0.1657	0.4116	98.71	93.81	1.0	1.0
P21796	1	1	283	283	2.40.160.10	0.0495	0.6466	0.3039	93.07	57.22	0.9965	0.8127
P21912	1	143	280	138	1.10.1060.10	0.471	0.0	0.529	96.29	48.5	0.9565	0.942
P21912	2	29	142	114	3.10.20.30	0.1228	0.307	0.5702	96.21	49.91	0.9561	0.9386
P21953	1	260	392	133	3.40.50.920	0.4286	0.2256	0.3459	98.72	97.69	1.0	1.0
P21953	2	67	259	193	3.40.50.970	0.4041	0.1813	0.4145	98.59	93.69	1.0	1.0
P21964	1	51	270	220	3.40.50.150	0.4636	0.2227	0.3136	96.56	38.97	0.9818	0.9591
P22033	1	61	576	516	3.20.20.240	0.531	0.0872	0.3818	95.54	64.19	0.9942	0.8953
P22033	2	580	743	164	3.40.50.280	0.5122	0.1585	0.3293	96.24	76.5	1.0	0.9207
P22234	1	13	91	79	3.30.200.20	0.2405	0.4177	0.3418	94.69	77.12	1.0	0.8734
P22234	2	92	233	142	3.30.470.20	0.3239	0.3451	0.331	97.15	86.0	1.0	0.9789
P22234	3	260	424	165	3.40.50.1970	0.5152	0.1333	0.3515	97.01	79.19	1.0	0.9758
P22307	1	424	542	119	3.30.1050.10	0.4202	0.2437	0.3361	85.41	29.38	0.9244	0.3782
P22307	2	13	405	393	3.40.47.10	0.4275	0.1883	0.3842	97.59	73.38	1.0	0.9695
P22333	1	2	333	332	3.20.20.140	0.5512	0.1325	0.3163	98.2	79.81	1.0	0.994
P22557	1	207	440	234	3.40.640.10	0.4701	0.1667	0.3632	98.48	94.81	1.0	1.0
P22557	2	189	530	342	3.90.1150.10	0.4591	0.1667	0.3743	98.21	87.62	1.0	0.9942
P22557	3	1	49	49	4.10.92.10	0.0	0.0	1.0	35.85	27.81	0.0	0.0
P22570	1	41	487	447	3.40.50.720	0.3826	0.2081	0.4094	96.59	72.0	1.0	0.953
P22570	2	76	362	287	3.50.50.60	0.3659	0.2544	0.3798	96.43	72.0	1.0	0.9443
P22695	1	15	249	235	3.30.830.10	0.4255	0.1702	0.4043	89.48	35.78	0.9149	0.8
P22695	2	250	453	204	3.30.830.10	0.5	0.2059	0.2941	94.62	73.75	1.0	0.9118
P22830	1	68	392	325	3.40.50.1400	0.5108	0.16	0.3292	97.16	79.0	1.0	0.9508
P22830	2	228	370	143	3.40.50.1400	0.4615	0.1818	0.3566	97.85	84.44	1.0	0.972
P23003	1	45	189	145	2.40.50.1070	0.2345	0.4552	0.3103	97.75	86.69	1.0	0.9931
P23003	2	15	362	348	3.40.50.150	0.3362	0.3103	0.3534	96.34	77.81	1.0	0.9195
P23368	1	23	277	255	3.40.50.10380	0.4941	0.098	0.4078	97.07	79.5	1.0	0.9725
P23368	2	278	584	307	3.40.50.720	0.456	0.1042	0.4397	95.58	72.31	1.0	0.899
P23378	1	144	402	259	3.40.640.10	0.444	0.1892	0.3668	98.14	81.44	1.0	0.9884
P23378	2	571	801	231	3.40.640.10	0.3766	0.1602	0.4632	98.03	89.19	1.0	0.9957
P23378	3	133	484	352	3.90.1150.10	0.4375	0.1903	0.3722	98.17	81.44	1.0	0.9915
P23378	4	815	955	141	3.90.1150.10	0.539	0.078	0.383	98.39	93.56	1.0	1.0
P23434	1	31	169	139	2.40.50.100	0.2158	0.3309	0.4532	91.32	46.12	0.8705	0.8633
P23721	1	17	258	242	3.40.640.10	0.343	0.1818	0.4752	98.47	91.44	1.0	1.0
P23721	2	259	362	104	3.90.1150.10	0.5288	0.1635	0.3077	98.25	89.56	1.0	0.9808
P23786	1	33	132	100	1.10.275.20	0.52	0.01	0.47	98.18	89.44	1.0	0.99
P23786	2	169	211	43	1.20.1280.180	0.3953	0.1395	0.4651	94.54	85.12	1.0	0.8837
P23786	3	446	656	211	3.30.559.10	0.4882	0.1801	0.3318	96.94	74.56	1.0	0.9621
P23786	4	133	445	313	3.30.559.70	0.4345	0.1725	0.393	97.45	85.12	1.0	0.9776
P23836	1	123	223	101	1.10.10.10	0.396	0.2475	0.3564	88.96	53.09	0.901	0.6931
P23836	2	1	80	80	3.40.50.2300	0.4125	0.25	0.3375	94.52	83.88	1.0	0.9
P23836	3	81	118	38	6.10.250.690	0.6316	0.1053	0.2632	90.27	78.25	1.0	0.6579
P23843	1	297	512	216	3.10.105.10	0.4491	0.1759	0.375	98.07	88.25	1.0	0.9954
P23843	2	41	524	484	3.40.190.10	0.3678	0.2231	0.4091	98.04	88.25	1.0	0.9979
P23843	3	71	194	124	3.90.76.10	0.2742	0.2661	0.4597	97.8	91.31	1.0	1.0
P23869	1	1	164	164	2.40.100.10	0.1341	0.3537	0.5122	98.25	83.44	1.0	0.9939
P23893	1	69	317	249	3.40.640.10	0.3855	0.1807	0.4337	96.27	36.31	0.9719	0.9438
P23893	2	6	419	414	3.90.1150.10	0.3961	0.1787	0.4251	97.07	36.31	0.9831	0.9662
P23908	1	181	296	116	3.30.70.360	0.3707	0.3017	0.3276	96.98	91.25	1.0	1.0
P23908	2	30	363	334	3.40.630.10	0.2874	0.2695	0.4431	96.73	86.31	1.0	0.9731
P23919	1	1	212	212	3.40.50.300	0.4811	0.1368	0.3821	95.61	43.59	0.9858	0.8868
P24182	1	136	203	68	3.30.1490.20	0.3971	0.2059	0.3971	91.2	65.06	0.9559	0.7941
P24182	2	1	135	135	3.30.470.20	0.4593	0.1778	0.363	96.79	87.56	1.0	0.9704
P24182	3	204	444	241	3.30.470.20	0.2863	0.3444	0.3693	96.95	86.44	1.0	0.9668
P24310	1	22	79	58	4.10.91.10	0.6724	0.0	0.3276	96.08	74.0	1.0	0.931
P24311	1	25	80	56	4.10.51.10	0.5179	0.0	0.4821	93.14	54.78	0.9107	0.8214
P24539	1	164	256	93	1.20.5.2210	0.9247	0.0	0.0753	88.73	30.11	0.8817	0.6237
P24752	1	32	427	396	3.40.47.10	0.3838	0.2222	0.3939	98.27	52.25	0.9924	0.9874
P25325	1	1	158	158	3.40.250.10	0.2911	0.1266	0.5823	95.24	33.22	0.9684	0.8987
P25325	2	159	297	139	3.40.250.10	0.3813	0.1295	0.4892	96.0	40.53	0.964	0.9568
P25397	1	1	197	197	3.40.50.150	0.2843	0.3147	0.401	97.27	62.5	0.9949	0.9492
P25705	1	423	553	131	1.20.150.20	0.7252	0.0	0.2748	91.92	56.75	0.9924	0.8015
P25705	2	44	136	93	2.40.30.20	0.2043	0.4194	0.3763	83.5	32.84	0.8387	0.5914
P25705	3	137	422	286	3.40.50.300	0.3741	0.2273	0.3986	96.01	85.75	1.0	0.9755
P25874	1	14	306	293	1.50.40.10	0.802	0.0	0.198	77.69	43.62	0.7952	0.0
P25888	1	1	211	211	3.40.50.300	0.4218	0.1422	0.436	91.71	57.25	0.9526	0.7583
P25888	2	215	395	181	3.40.50.300	0.3702	0.1934	0.4365	87.39	33.41	0.895	0.6077
P26440	1	41	161	121	1.10.540.10	0.719	0.0	0.281	98.37	88.62	1.0	0.9917
P26440	2	281	424	144	1.20.140.10	0.8194	0.0278	0.1528	98.48	93.75	1.0	1.0
P26440	3	163	280	118	2.40.110.10	0.1356	0.4576	0.4068	97.94	93.31	1.0	1.0
P26602	1	2	165	164	3.40.1410.10	0.2622	0.4024	0.3354	93.5	58.44	0.9817	0.8598
P27105	1	92	201	110	3.30.479.30	0.4545	0.3545	0.1909	94.36	88.0	1.0	0.9364
P27105	2	202	255	54	6.10.250.2090	0.963	0.0	0.037	93.31	83.5	1.0	0.7222
P27144	1	4	223	220	3.40.50.300	0.4636	0.1545	0.3818	91.88	54.06	0.9864	0.7091
P27249	1	457	599	143	1.10.3210.10	0.6993	0.007	0.2937	93.55	72.5	1.0	0.8252
P27305	1	7	302	296	3.40.50.620	0.3953	0.1655	0.4392	93.25	44.62	0.9527	0.875
P27306	1	345	465	121	3.30.390.30	0.3554	0.281	0.3636	96.08	85.62	1.0	0.9587
P27306	2	7	333	327	3.50.50.60	0.3456	0.2569	0.3976	94.99	63.06	0.9908	0.9021
P27306	3	158	276	119	3.50.50.60	0.2521	0.3361	0.4118	96.31	86.88	1.0	0.9832
P27338	1	107	199	93	1.10.405.10	0.6989	0.0215	0.2796	96.67	85.19	1.0	0.9892
P27338	2	6	448	443	3.50.50.60	0.3837	0.219	0.3973	97.15	78.31	1.0	0.9684
P27338	3	42	399	358	3.90.660.10	0.3743	0.2263	0.3994	96.83	78.31	1.0	0.9609
P27338	4	465	517	53	6.10.250.130	0.4906	0.0	0.5094	85.67	53.16	0.8491	0.566
P27695	1	43	317	275	3.60.10.10	0.3018	0.2509	0.4473	97.47	80.06	1.0	0.9673
P28288	1	45	397	353	1.20.1560.10	0.8584	0.0	0.1416	84.82	22.89	0.9292	0.4448
P28288	2	434	656	223	3.40.50.300	0.3453	0.2556	0.3991	91.58	68.31	0.991	0.7444
P28330	1	32	166	135	1.10.540.10	0.5926	0.0	0.4074	97.32	57.59	0.9852	0.9778
P28330	2	285	428	144	1.20.140.10	0.8125	0.0278	0.1597	97.81	87.25	1.0	0.9861
P28330	3	168	284	117	2.40.110.10	0.1282	0.4786	0.3932	97.24	91.38	1.0	1.0
