accession	source	n_domains	first_domain_start	first_domain_end
P48023	Chainsaw	1	146	280
P51398	Chainsaw	3	56	164
P49190	Chainsaw	2	2	28
P49720	Chainsaw	1	3	200
P48556	Chainsaw	1	80	315
P49716	Chainsaw	1	61	253
P52655	Chainsaw	1	323	375
P51575	Chainsaw	3	1	56
P50053	Chainsaw	1	5	290
P47813	Chainsaw	1	33	106
P52746	Chainsaw	5	163	248
P51151	Chainsaw	1	6	185
P51452	Chainsaw	1	9	180
P49765	Chainsaw	1	38	126
P48061	Chainsaw	1	41	92
P50548	Chainsaw	1	13	115
P51606	Chainsaw	1	3	409
P51570	Chainsaw	2	9	201
P49961	Chainsaw	4	1	42
P52895	Chainsaw	1	7	311
P53004	Chainsaw	2	9	126
P46695	Chainsaw	1	69	151
P46934	Chainsaw	3	6	6
P49286	Chainsaw	1	38	316
P49019	Chainsaw	1	3	300
P51460	Chainsaw	1	35	128
P49427	Chainsaw	1	8	190
P48736	Chainsaw	6	37	190
P52849	Chainsaw	3	595	880
P46937	Chainsaw	2	490	493
P51148	Chainsaw	1	18	181
P47928	Chainsaw	1	39	115
P49798	Chainsaw	1	53	178
P48553	Chainsaw	6	1218	1246
P50238	Chainsaw	1	3	61
P50991	Chainsaw	2	27	157
P47211	Chainsaw	1	26	308
P51159	Chainsaw	1	8	192
P48788	Chainsaw	1	3	177
P51157	Chainsaw	1	11	190
P52797	Chainsaw	1	32	168
P49862	Chainsaw	1	34	238
P49279	Chainsaw	2	44	49
P50454	Chainsaw	2	38	208
P49810	Chainsaw	1	74	299
P51965	Chainsaw	1	47	192
P50219	Chainsaw	1	207	315
P50876	Chainsaw	1	17	104
P52952	Chainsaw	1	14	229
P51513	Chainsaw	3	50	131
P49354	Chainsaw	1	66	367
P48595	Chainsaw	2	1	191
P50453	Chainsaw	2	1	170
P50539	Chainsaw	1	1	148
P51172	Chainsaw	2	220	286
P47888	Chainsaw	1	20	315
P48167	Chainsaw	2	464	496
P46527	Chainsaw	1	38	88
P51857	Chainsaw	1	9	314
P51681	Chainsaw	1	22	300
P51689	Chainsaw	3	42	187
P49863	Chainsaw	1	27	245
P49459	Chainsaw	1	4	149
P46095	Chainsaw	1	74	345
P51946	Chainsaw	2	2	159
P50990	Chainsaw	2	20	151
P47881	Chainsaw	1	14	309
P52294	Chainsaw	1	28	504
P48431	Chainsaw	1	47	112
P48145	Chainsaw	1	34	327
P47898	Chainsaw	2	38	222
P51843	Chainsaw	1	246	467
P52434	Chainsaw	1	4	148
P51677	Chainsaw	1	26	306
P48058	Chainsaw	6	26	136
P51571	Chainsaw	1	30	138
P48643	Chainsaw	2	27	156
P52790	Chainsaw	4	26	40
P51970	Chainsaw	1	22	126
P49682	Chainsaw	1	45	330
P50914	Chainsaw	1	11	91
P49069	Chainsaw	1	146	294
P48637	Chainsaw	3	6	54
P51589	Chainsaw	3	406	500
P47895	Chainsaw	2	34	281
P52306	Chainsaw	1	1	606
P46721	Chainsaw	3	1	407
P51674	Chainsaw	1	23	239
P50221	Chainsaw	1	180	230
P47893	Chainsaw	1	20	315
P49711	Chainsaw	2	266	468
P49683	Chainsaw	1	49	341
P50452	Chainsaw	2	1	170
P48751	Chainsaw	2	320	438
P49589	Chainsaw	4	30	98
P46776	Chainsaw	1	65	146
P51956	Chainsaw	2	460	498
P49447	Chainsaw	1	11	244
P47900	Chainsaw	1	49	327
P51003	Chainsaw	2	733	743
P50225	Chainsaw	1	12	284
P49902	Chainsaw	3	5	36
P52848	Chainsaw	4	596	880
P46779	Chainsaw	1	3	121
P47929	Chainsaw	1	6	135
P51858	Chainsaw	1	14	92
P50391	Chainsaw	1	38	330
P50851	Chainsaw	3	44	200
P51153	Chainsaw	1	7	175
P51668	Chainsaw	1	1	146
P51582	Chainsaw	1	33	321
P48426	Chainsaw	2	325	404
P47710	Chainsaw	1	1	143
P51685	Chainsaw	1	32	305
P49642	Chainsaw	3	6	190
P52789	Chainsaw	4	1	29
P47883	Chainsaw	1	14	310
P47874	Chainsaw	1	10	162
P48594	Chainsaw	2	3	185
P51810	Chainsaw	1	4	311
P49184	Chainsaw	1	17	274
P51911	Chainsaw	1	13	134
P52565	Chainsaw	1	8	199
P49146	Chainsaw	1	43	341
P47756	Chainsaw	2	1	35
P46100	Chainsaw	4	175	178
P51993	Chainsaw	2	63	167
P50749	Chainsaw	1	9	63
P51636	Chainsaw	1	3	157
P51161	Chainsaw	1	5	127
P50135	Chainsaw	2	6	26
P48060	Chainsaw	2	2	24
P49815	Chainsaw	3	10	500
P49454	Chainsaw	1	7	1203
P52948	Chainsaw	3	760	762
P51608	Chainsaw	1	105	145
P50579	Chainsaw	1	120	471
P50226	Chainsaw	1	12	284
P48230	Chainsaw	1	3	187
P49771	Chainsaw	1	40	153
P46821	Chainsaw	1	33	528
P51170	Chainsaw	4	3	81
P47804	Chainsaw	1	13	280
P47901	Chainsaw	1	31	354
P48039	Chainsaw	1	24	300
P49721	Chainsaw	1	4	195
P49450	Chainsaw	1	36	133
P49639	Chainsaw	1	238	291
P52298	Chainsaw	1	41	149
P51816	Chainsaw	1	3	51
P52757	Chainsaw	3	287	466
P48506	Chainsaw	2	12	45
P49366	Chainsaw	2	36	132
P50897	Chainsaw	2	35	144
P51959	Chainsaw	2	8	25
P49643	Chainsaw	3	17	146
P49321	Chainsaw	1	37	116
P46939	Chainsaw	6	1134	1242
P47887	Chainsaw	1	11	318
P46783	Chainsaw	1	5	92
P48448	Chainsaw	3	4	21
P49458	Chainsaw	1	7	74
P49715	Chainsaw	1	65	355
P46777	Chainsaw	1	21	249
P51690	Chainsaw	3	33	184
P51861	Chainsaw	1	35	260
P49795	Chainsaw	1	50	208
P52594	Chainsaw	1	1	146
P48664	Chainsaw	3	46	199
P51168	Chainsaw	4	1	78
P49888	Chainsaw	1	3	284
P46782	Chainsaw	1	18	203
P47914	Chainsaw	1	12	117
P50607	Chainsaw	1	251	499
P48509	Chainsaw	2	11	130
P47224	Chainsaw	1	7	122
P50120	Chainsaw	1	7	133
P52954	Chainsaw	1	38	214
P51864	Chainsaw	1	11	186
P50553	Chainsaw	1	39	234
P48681	Chainsaw	1	48	604
P50549	Chainsaw	1	337	425
P51679	Chainsaw	1	31	323
P57086	Chainsaw	1	104	174
P57678	Chainsaw	4	824	1056
P59942	Chainsaw	1	5	117
P59537	Chainsaw	1	3	302
P61163	Chainsaw	3	12	177
P55822	Chainsaw	1	66	158
P56199	Chainsaw	5	31	164
P61026	Chainsaw	1	8	173
P55317	Chainsaw	1	175	253
P61278	Chainsaw	1	1	92
P56134	Chainsaw	1	13	90
P58304	Chainsaw	1	157	323
P56715	Chainsaw	1	155	214
P54762	Chainsaw	6	1	1
P59052	Chainsaw	1	43	112
P62258	Chainsaw	1	3	236
P57055	Chainsaw	1	46	117
P60891	Chainsaw	2	4	146
P61923	Chainsaw	1	13	134
P59535	Chainsaw	1	6	321
P58181	Chainsaw	1	11	312
P57738	Chainsaw	1	5	68
P61513	Chainsaw	1	12	91
P61204	Chainsaw	1	4	179
P56211	Chainsaw	1	9	74
P55061	Chainsaw	1	21	236
P56377	Chainsaw	1	3	127
P61966	Chainsaw	1	2	123
P53367	Chainsaw	1	120	371
P61568	Chainsaw	1	72	180
P61296	Chainsaw	1	21	215
P59543	Chainsaw	1	4	306
P57071	Chainsaw	3	781	783
P60509	Chainsaw	2	38	89
P53999	Chainsaw	1	63	126
P58418	Chainsaw	2	3	31
P61962	Chainsaw	1	10	341
P54253	Chainsaw	1	572	687
P54793	Chainsaw	3	31	172
P60709	Chainsaw	3	8	174
P53794	Chainsaw	3	7	463
P54132	Chainsaw	3	639	857
P55089	Chainsaw	1	1	123
P53365	Chainsaw	1	29	323
P56856	Chainsaw	1	1	198
P56545	Chainsaw	2	6	128
P55316	Chainsaw	1	186	275
P58550	Chainsaw	1	1	71
P59991	Chainsaw	1	13	137
P61599	Chainsaw	1	3	176
P53992	Chainsaw	4	323	402
P59646	Chainsaw	1	1	63
P62140	Chainsaw	1	8	295
P56179	Chainsaw	1	58	110
P55058	Chainsaw	3	22	204
P54821	Chainsaw	1	26	169
P59665	Chainsaw	1	51	93
P53420	Chainsaw	1	1466	1688
P58876	Chainsaw	1	38	125
P54803	Chainsaw	3	42	44
P59538	Chainsaw	1	3	302
P55290	Chainsaw	6	707	707
P56589	Chainsaw	1	2	370
P57739	Chainsaw	1	1	194
P54849	Chainsaw	1	1	156
P55774	Chainsaw	1	41	87
P58546	Chainsaw	1	3	117
P59541	Chainsaw	1	3	317
P61019	Chainsaw	1	5	199
P61587	Chainsaw	1	22	199
P56556	Chainsaw	1	25	107
P54646	Chainsaw	3	528	550
P54259	Chainsaw	1	791	1183
P61366	Chainsaw	1	4	73
P61165	Chainsaw	1	3	75
P59536	Chainsaw	1	1	306
P60022	Chainsaw	1	33	67
P56559	Chainsaw	1	14	191
P54707	Chainsaw	5	47	98
P61088	Chainsaw	1	6	148
P60880	Chainsaw	1	1	205
P56279	Chainsaw	1	9	110
P61371	Chainsaw	3	30	75
P54920	Chainsaw	1	3	288
P60508	Chainsaw	2	1	9
P57796	Chainsaw	2	101	118
P61916	Chainsaw	1	25	148
P57052	Chainsaw	1	4	84
P57081	Chainsaw	1	6	346
P59282	Chainsaw	1	1	98
P61328	Chainsaw	1	69	209
P54652	Chainsaw	4	7	231
P58182	Chainsaw	1	9	306
P57059	Chainsaw	1	23	352
P57082	Chainsaw	1	52	249
P61006	Chainsaw	1	7	180
P61224	Chainsaw	1	2	168
P57735	Chainsaw	1	11	178
P56749	Chainsaw	1	8	199
P56747	Chainsaw	1	4	183
P60602	Chainsaw	1	15	78
P57768	Chainsaw	1	111	229
P53779	Chainsaw	2	45	150
P58173	Chainsaw	1	11	312
P60201	Chainsaw	1	1	275
P56851	Chainsaw	1	37	144
P61018	Chainsaw	1	7	196
P54852	Chainsaw	1	3	161
P62079	Chainsaw	1	13	267
P55259	Chainsaw	3	20	28
P61457	Chainsaw	1	10	102
P53804	Chainsaw	7	1850	1899
P54277	Chainsaw	4	673	761
P62249	Chainsaw	1	9	119
P55201	Chainsaw	4	7	139
P53680	Chainsaw	1	2	141
P59666	Chainsaw	1	51	93
P53609	Chainsaw	1	22	347
P56178	Chainsaw	1	146	198
P55854	Chainsaw	1	16	87
P61236	Chainsaw	1	20	114
P61626	Chainsaw	1	23	143
P55210	Chainsaw	1	69	294
P61586	Chainsaw	1	4	180
P53801	Chainsaw	1	17	126
P61964	Chainsaw	1	36	331
P55000	Chainsaw	1	24	94
P56278	Chainsaw	1	12	103
P59534	Chainsaw	1	11	334
P53602	Chainsaw	2	8	187
P58180	Chainsaw	1	11	306
P60008	Chainsaw	1	117	169
P60033	Chainsaw	1	6	234
P60174	Chainsaw	1	7	246
P55769	Chainsaw	1	16	125
P54922	Chainsaw	1	1	349
P62256	Chainsaw	1	6	161
P55042	Chainsaw	1	44	73
P60673	Chainsaw	1	4	135
P55087	Chainsaw	1	26	252
P53701	Chainsaw	1	55	267
P59998	Chainsaw	1	4	166
P61289	Chainsaw	1	9	64
P59544	Chainsaw	1	1	298
P55008	Chainsaw	1	8	131
P59020	Chainsaw	1	94	147
P58062	Chainsaw	1	35	82
P59922	Chainsaw	1	12	311
P62068	Chainsaw	2	18	149
P58317	Chainsaw	2	100	121
P60059	Chainsaw	1	1	67
P61244	Chainsaw	1	21	130
P56177	Chainsaw	1	137	189
P56748	Chainsaw	1	1	197
P57682	Chainsaw	1	260	343
P57730	Chainsaw	1	1	87
P53990	Chainsaw	1	8	186
P61812	Chainsaw	2	29	95
P55347	Chainsaw	2	393	398
P57073	Chainsaw	1	57	165
P58170	Chainsaw	1	11	304
P62263	Chainsaw	1	28	131
P56539	Chainsaw	1	1	142
P54760	Chainsaw	6	1	1
P59074	Chainsaw	1	1	140
P54289	Chainsaw	6	30	74
P61758	Chainsaw	1	34	195
P53985	Chainsaw	2	18	198
P61981	Chainsaw	1	4	242
P56192	Chainsaw	6	613	615
P53803	Chainsaw	1	15	46
P58340	Chainsaw	1	6	205
P55060	Chainsaw	2	931	940
P60763	Chainsaw	1	2	177
P58294	Chainsaw	1	29	102
P61160	Chainsaw	3	7	174
P54619	Chainsaw	2	30	30
P54368	Chainsaw	1	1	18
P60981	Chainsaw	1	6	164
P61578	Chainsaw	1	50	89
P58658	Chainsaw	3	40	44
P59533	Chainsaw	1	12	332
P61225	Chainsaw	1	2	168
P62136	Chainsaw	1	9	318
P55011	Chainsaw	2	998	1201
P62253	Chainsaw	1	3	167
P61927	Chainsaw	1	5	76
P61077	Chainsaw	1	1	146
P61158	Chainsaw	3	8	186
P55327	Chainsaw	1	24	208
P61266	Chainsaw	1	30	225
P61421	Chainsaw	1	5	338
P61925	Chainsaw	1	4	44
P61803	Chainsaw	1	5	110
P61326	Chainsaw	1	5	141
P55103	Chainsaw	2	36	64
P58417	Chainsaw	1	123	261
P54845	Chainsaw	1	69	225
P59036	Chainsaw	1	4	63
P57771	Chainsaw	1	47	177
P59768	Chainsaw	1	1	58
P56915	Chainsaw	1	169	238
P53816	Chainsaw	1	12	122
P61576	Chainsaw	1	50	89
P59025	Chainsaw	1	40	196
P60321	Chainsaw	1	64	125
P55318	Chainsaw	1	113	200
P59539	Chainsaw	1	3	297
P60323	Chainsaw	1	59	108
P61254	Chainsaw	1	23	142
P56537	Chainsaw	1	2	243
P60953	Chainsaw	1	2	177
P59095	Chainsaw	1	3	207
P56750	Chainsaw	1	3	194
P55735	Chainsaw	1	16	304
P62241	Chainsaw	1	37	207
P60900	Chainsaw	1	23	244
P56746	Chainsaw	1	3	185
P59047	Chainsaw	4	666	1184
P59817	Chainsaw	1	273	511
P61970	Chainsaw	1	6	121
P61565	Chainsaw	3	23	113
P55773	Chainsaw	1	65	119
P56693	Chainsaw	1	70	167
P53778	Chainsaw	2	11	113
P55056	Chainsaw	1	1	121
P53611	Chainsaw	1	20	323
P55263	Chainsaw	1	26	348
P61024	Chainsaw	1	7	72
P57053	Chainsaw	1	38	125
P55083	Chainsaw	1	41	254
P53539	Chainsaw	1	65	221
P59190	Chainsaw	1	7	172
P59773	Chainsaw	1	12	189
P60606	Chainsaw	1	26	75
P56557	Chainsaw	1	18	151
P57729	Chainsaw	1	6	187
P61009	Chainsaw	1	39	168
P61218	Chainsaw	1	56	125
P61353	Chainsaw	1	9	131
P59103	Chainsaw	1	1	143
P53384	Chainsaw	1	41	319
P54257	Chainsaw	1	145	649
P60866	Chainsaw	1	18	117
P55198	Chainsaw	1	22	191
P56937	Chainsaw	1	4	95
P61952	Chainsaw	1	6	61
P61073	Chainsaw	1	34	307
P60903	Chainsaw	1	4	95
P61020	Chainsaw	1	17	180
P61956	Chainsaw	1	17	88
P54851	Chainsaw	1	1	165
P60893	Chainsaw	1	1	217
P62070	Chainsaw	1	13	182
P60604	Chainsaw	1	1	163
P56270	Chainsaw	1	293	293
P61313	Chainsaw	1	3	172
P53814	Chainsaw	2	3	61
P60568	Chainsaw	1	2	152
P58166	Chainsaw	2	36	63
P56373	Chainsaw	3	1	48
P58012	Chainsaw	1	59	136
P60006	Chainsaw	1	15	46
P60510	Chainsaw	1	6	306
P60468	Chainsaw	1	64	93
P55212	Chainsaw	1	43	281
P60985	Chainsaw	1	5	92
P60002	Chainsaw	1	23	82
P54855	Chainsaw	3	25	281
P59510	Chainsaw	12	28	197
P58753	Chainsaw	1	80	220
P56555	Chainsaw	1	52	100
P57103	Chainsaw	4	3	258
P59540	Chainsaw	1	3	302
P60827	Chainsaw	1	118	251
P56880	Chainsaw	1	4	187
P59780	Chainsaw	1	2	129
P53675	Chainsaw	5	1044	1053
P59022	Chainsaw	1	13	85
P55001	Chainsaw	1	1	180
P55344	Chainsaw	1	1	170
P56524	Chainsaw	1	654	1052
P59861	Chainsaw	1	1	59
P60520	Chainsaw	1	4	110
P61769	Chainsaw	1	26	114
P60983	Chainsaw	1	9	140
P61106	Chainsaw	1	10	192
P61960	Chainsaw	1	3	78
P58505	Chainsaw	1	84	265
P59542	Chainsaw	1	1	298
P59551	Chainsaw	1	7	315
P62937	Chainsaw	1	5	164
P69891	Chainsaw	1	6	143
Q01151	Chainsaw	1	22	127
Q02575	Chainsaw	1	63	132
P63104	Chainsaw	1	3	241
P68106	Chainsaw	1	3	107
Q01415	Chainsaw	2	8	225
P62826	Chainsaw	1	9	206
P78356	Chainsaw	2	340	414
P62952	Chainsaw	1	2	60
Q01130	Chainsaw	1	14	89
P78329	Chainsaw	2	40	128
Q01082	Chainsaw	7	853	1286
Q03154	Chainsaw	2	11	187
P84550	Chainsaw	1	76	270
P81877	Chainsaw	1	15	98
P81534	Chainsaw	1	1	65
P67812	Chainsaw	2	1	45
P78333	Chainsaw	1	71	453
Q00975	Chainsaw	5	44	45
P84090	Chainsaw	1	4	103
P62328	Chainsaw	1	7	43
P67809	Chainsaw	1	54	126
Q01664	Chainsaw	1	14	296
P63279	Chainsaw	1	1	155
P86434	Chainsaw	1	27	152
P78380	Chainsaw	1	149	267
P69892	Chainsaw	1	6	143
P62304	Chainsaw	1	17	89
P62913	Chainsaw	1	13	175
P63172	Chainsaw	1	1	112
P62807	Chainsaw	1	38	125
Q01831	Chainsaw	3	194	327
Q02223	Chainsaw	1	12	83
Q01081	Chainsaw	1	1	179
P80217	Chainsaw	2	53	123
P80511	Chainsaw	1	3	90
Q03135	Chainsaw	1	5	169
P63173	Chainsaw	1	2	68
Q00796	Chainsaw	2	10	155
Q01105	Chainsaw	1	87	234
P62942	Chainsaw	1	3	107
Q00266	Chainsaw	3	17	26
Q00005	Chainsaw	2	23	121
P78524	Chainsaw	2	615	681
Q01094	Chainsaw	3	14	47
P63272	Chainsaw	1	3	104
P78424	Chainsaw	1	475	671
P78559	Chainsaw	1	2	301
Q01453	Chainsaw	1	1	158
P62699	Chainsaw	1	13	110
P68032	Chainsaw	3	10	176
P63167	Chainsaw	1	6	87
P68036	Chainsaw	1	1	147
P68871	Chainsaw	1	6	143
P78504	Chainsaw	4	13	15
P62837	Chainsaw	1	1	146
P67775	Chainsaw	1	3	308
P78358	Chainsaw	1	88	171
P62851	Chainsaw	1	52	111
P62424	Chainsaw	1	75	238
P78556	Chainsaw	1	43	95
P98187	Chainsaw	2	42	133
Q01459	Chainsaw	1	46	253
P81408	Chainsaw	1	18	208
P62805	Chainsaw	1	27	94
P78346	Chainsaw	1	5	237
Q03014	Chainsaw	1	146	198
P63146	Chainsaw	1	4	149
P62995	Chainsaw	1	103	193
Q02040	Chainsaw	3	5	27
P78563	Chainsaw	3	508	735
P78317	Chainsaw	1	139	187
P62857	Chainsaw	1	10	58
P63211	Chainsaw	1	6	61
P78334	Chainsaw	2	1	22
P62308	Chainsaw	1	10	72
P83876	Chainsaw	1	11	131
Q01362	Chainsaw	1	45	212
P98173	Chainsaw	1	58	224
P62330	Chainsaw	1	1	172
Q03188	Chainsaw	3	6	11
Q02325	Chainsaw	1	26	95
P67936	Chainsaw	1	1	245
P98196	Chainsaw	5	3	50
Q02080	Chainsaw	1	14	91
Q03403	Chainsaw	1	28	119
Q03167	Chainsaw	4	31	40
Q03924	Chainsaw	3	354	482
P63261	Chainsaw	3	8	173
P78423	Chainsaw	1	6	103
P78426	Chainsaw	1	98	349
P63121	Chainsaw	1	11	100
P62745	Chainsaw	1	4	179
P62879	Chainsaw	1	3	339
P62820	Chainsaw	1	10	176
P62910	Chainsaw	1	75	118
Q02224	Chainsaw	2	371	378
P62873	Chainsaw	1	3	339
P68133	Chainsaw	3	10	175
P63220	Chainsaw	1	32	76
P62312	Chainsaw	1	8	75
P69849	Chainsaw	10	37	125
Q01469	Chainsaw	1	4	133
Q01628	Chainsaw	1	21	132
Q03933	Chainsaw	1	9	106
P78382	Chainsaw	1	10	334
P78348	Chainsaw	2	18	72
P63124	Chainsaw	1	11	100
P63162	Chainsaw	1	3	84
Q02161	Chainsaw	2	11	196
Q02747	Chainsaw	1	23	113
P62888	Chainsaw	1	1	98
Q01546	Chainsaw	1	174	497
P68431	Chainsaw	1	46	132
P78386	Chainsaw	1	114	436
P62736	Chainsaw	3	10	175
P84103	Chainsaw	1	11	80
Q03692	Chainsaw	1	553	679
P62314	Chainsaw	1	3	80
Q01813	Chainsaw	4	17	184
P62273	Chainsaw	1	3	50
P84157	Chainsaw	1	4	202
Q02878	Chainsaw	1	148	272
Q01581	Chainsaw	2	10	184
Q01804	Chainsaw	2	653	734
Q01814	Chainsaw	4	28	91
P68400	Chainsaw	1	14	326
P63128	Chainsaw	6	1	106
P62854	Chainsaw	1	20	81
P62834	Chainsaw	1	2	168
P62877	Chainsaw	1	54	107
Q01718	Chainsaw	1	1	292
P98172	Chainsaw	1	35	164
Q02833	Chainsaw	1	8	90
Q01726	Chainsaw	1	1	314
P80188	Chainsaw	1	5	187
Q02505	Chainsaw	1	109	152
P86496	Chainsaw	1	181	218
P63244	Chainsaw	1	2	315
P78562	Chainsaw	3	57	104
Q01432	Chainsaw	3	12	194
P62306	Chainsaw	1	7	74
Q01196	Chainsaw	1	51	169
Q03112	Chainsaw	2	377	378
P63165	Chainsaw	1	21	92
P82094	Chainsaw	1	6	476
P82909	Chainsaw	1	36	99
P80162	Chainsaw	1	60	112
Q02577	Chainsaw	1	65	134
P62955	Chainsaw	1	1	210
Q01995	Chainsaw	1	9	151
Q01433	Chainsaw	3	68	260
P82279	Chainsaw	9	84	184
Q03426	Chainsaw	2	6	211
P63000	Chainsaw	1	2	177
P78330	Chainsaw	2	4	24
P78371	Chainsaw	3	17	148
P78369	Chainsaw	1	1	188
P62324	Chainsaw	1	11	126
Q01973	Chainsaw	3	57	151
Q03395	Chainsaw	2	4	143
P78385	Chainsaw	1	90	425
P62899	Chainsaw	1	16	121
Q00604	Chainsaw	1	40	130
P82980	Chainsaw	1	7	133
P63313	Chainsaw	1	7	42
P98169	Chainsaw	2	406	610
Q03181	Chainsaw	2	83	149
Q01740	Chainsaw	3	4	149
P62502	Chainsaw	1	17	158
P62841	Chainsaw	1	16	119
Q02078	Chainsaw	1	14	94
Q03113	Chainsaw	2	51	83
Q02535	Chainsaw	1	6	85
Q02846	Chainsaw	4	53	165
P62310	Chainsaw	1	17	96
P63215	Chainsaw	1	13	51
P62714	Chainsaw	1	3	308
P78345	Chainsaw	1	38	199
P84101	Chainsaw	1	3	56
Q03468	Chainsaw	4	90	217
P78543	Chainsaw	1	9	124
Q01629	Chainsaw	1	56	131
Q01844	Chainsaw	1	362	444
P84095	Chainsaw	1	3	177
P85299	Chainsaw	1	15	217
P78412	Chainsaw	1	176	177
P69905	Chainsaw	1	5	138
P81605	Chainsaw	1	1	109
P81277	Chainsaw	1	1	44
P78406	Chainsaw	1	32	357
Q01955	Chainsaw	1	1446	1652
P98155	Chainsaw	1	425	751
P86479	Chainsaw	1	180	218
Q03111	Chainsaw	1	6	146
Q03393	Chainsaw	1	11	142
P63218	Chainsaw	1	2	45
P98082	Chainsaw	1	36	190
P62917	Chainsaw	1	34	166
P78362	Chainsaw	2	52	292
P83881	Chainsaw	1	2	93
Q02363	Chainsaw	1	39	116
Q02539	Chainsaw	1	43	115
P78337	Chainsaw	1	98	177
Q00169	Chainsaw	1	3	260
P78383	Chainsaw	1	10	314
P86481	Chainsaw	1	181	217
P62280	Chainsaw	1	22	146
Q00765	Chainsaw	1	3	153
P98171	Chainsaw	4	1	313
P68402	Chainsaw	1	8	219
P63151	Chainsaw	1	12	444
P63267	Chainsaw	3	9	174
Q01850	Chainsaw	1	21	452
Q01524	Chainsaw	1	1	99
P62906	Chainsaw	2	7	57
Q01892	Chainsaw	1	171	260
P98194	Chainsaw	5	23	65
P62318	Chainsaw	1	5	85
P78364	Chainsaw	1	797	1001
P80098	Chainsaw	1	45	95
P63096	Chainsaw	2	25	60
Q00444	Chainsaw	1	164	217
Q00610	Chainsaw	4	1302	1613
Q03431	Chainsaw	1	8	28
P78411	Chainsaw	1	114	174
Q01668	Chainsaw	6	1	264
P62316	Chainsaw	1	3	111
P98177	Chainsaw	1	106	184
Q02928	Chainsaw	2	18	18
P80075	Chainsaw	1	45	97
P78363	Chainsaw	7	4	50
P62491	Chainsaw	1	4	181
P62750	Chainsaw	1	73	153
P98198	Chainsaw	4	1144	1178
Q01658	Chainsaw	1	8	164
P62847	Chainsaw	1	6	94
P98182	Chainsaw	1	280	389
Q00987	Chainsaw	2	27	115
P84243	Chainsaw	1	46	132
P62875	Chainsaw	1	17	60
P98179	Chainsaw	1	7	81
P80748	Chainsaw	1	37	109
P84077	Chainsaw	1	3	179
P78381	Chainsaw	1	25	342
P62829	Chainsaw	1	20	139
Q12951	Chainsaw	1	115	205
Q05397	Chainsaw	4	36	147
Q08623	Chainsaw	2	10	18
Q06265	Chainsaw	1	8	287
Q0VDD5	Chainsaw	1	6	44
Q12852	Chainsaw	1	122	404
Q13278	Chainsaw	1	30	103
Q13287	Chainsaw	2	90	150
Q13330	Chainsaw	3	5	173
Q04900	Chainsaw	1	1	109
Q12962	Chainsaw	1	116	207
Q08462	Chainsaw	3	28	216
Q07011	Chainsaw	1	1	159
Q07654	Chainsaw	1	1	70
Q13363	Chainsaw	2	29	122
Q06413	Chainsaw	1	14	91
Q13347	Chainsaw	1	4	318
Q0VDF9	Chainsaw	3	2	225
Q13349	Chainsaw	5	20	142
Q13228	Chainsaw	1	15	456
Q13061	Chainsaw	1	36	116
Q12873	Chainsaw	4	468	722
Q05209	Chainsaw	1	3	300
Q11130	Chainsaw	2	47	151
Q12846	Chainsaw	1	37	235
Q13117	Chainsaw	1	35	116
Q0VDD8	Chainsaw	5	1	64
Q0D2K5	Chainsaw	1	16	141
Q13277	Chainsaw	1	33	240
Q13323	Chainsaw	1	9	159
Q06323	Chainsaw	1	8	64
Q08378	Chainsaw	1	118	1424
Q04721	Chainsaw	4	40	122
Q12770	Chainsaw	3	3	51
Q04656	Chainsaw	9	925	1031
Q05586	Chainsaw	5	25	142
Q08357	Chainsaw	2	4	207
Q05066	Chainsaw	1	66	123
Q08830	Chainsaw	1	83	304
Q0P140	Chainsaw	1	5	75
Q10587	Chainsaw	1	37	300
Q12809	Chainsaw	3	12	137
Q12882	Chainsaw	5	10	22
Q13255	Chainsaw	4	38	206
Q0VAQ4	Chainsaw	1	28	89
Q06945	Chainsaw	1	65	122
Q04844	Chainsaw	3	7	10
Q09FC8	Chainsaw	1	468	595
Q12908	Chainsaw	1	25	303
Q08117	Chainsaw	1	22	138
Q05516	Chainsaw	3	539	665
Q0VAF6	Chainsaw	1	26	133
Q13023	Chainsaw	3	100	127
Q12870	Chainsaw	1	65	175
Q12888	Chainsaw	2	1706	1965
Q06278	Chainsaw	5	6	365
Q13227	Chainsaw	1	12	260
Q05195	Chainsaw	1	1	144
Q13241	Chainsaw	1	66	177
Q13370	Chainsaw	2	1056	1062
Q13263	Chainsaw	4	53	142
Q13017	Chainsaw	6	12	277
Q12789	Chainsaw	7	1695	1824
Q13224	Chainsaw	4	34	148
Q12857	Chainsaw	1	4	233
Q0VG73	Chainsaw	1	28	87
Q12923	Chainsaw	7	3	145
Q12974	Chainsaw	1	7	148
Q12840	Chainsaw	2	384	910
Q13216	Chainsaw	1	18	18
Q12999	Chainsaw	1	6	198
Q05469	Chainsaw	3	962	1051
Q10588	Chainsaw	1	43	273
Q0D2K3	Chainsaw	1	99	131
Q13003	Chainsaw	5	34	154
Q0VG99	Chainsaw	1	86	155
Q0D2H9	Chainsaw	1	1	287
Q12981	Chainsaw	1	4	181
Q09666	Chainsaw	2	8	12
Q13207	Chainsaw	1	27	41
Q0P5N6	Chainsaw	1	25	195
Q10570	Chainsaw	3	2	403
Q12982	Chainsaw	1	130	308
Q04828	Chainsaw	1	7	311
Q13075	Chainsaw	6	19	136
Q07687	Chainsaw	1	161	213
Q0VD86	Chainsaw	1	40	139
